,Name,Team,Position,Date of Birth,Age,Nationality,Market Value
268,Nils Petersen,SC Freiburg,Centre-Forward,"Dec 6, 1988",34,Germany,€1.50m
269,Oliver Baumann,TSG 1899 Hoffenheim,Goalkeeper,"Jun 2, 1990",33,Germany,€4.00m
270,Philipp Pentke,TSG 1899 Hoffenheim,Goalkeeper,"May 1, 1985",38,Germany,€300k
271,Luca Philipp,TSG 1899 Hoffenheim,Goalkeeper,"Nov 28, 2000",22,Germany,€300k
272,Nahuel Noll,TSG 1899 Hoffenheim,Goalkeeper,"Mar 17, 2003",20,Germany,€250k
273,Ozan Kabak,TSG 1899 Hoffenheim,Centre-Back,"Mar 25, 2000",23,Türkiye,€10.00m
274,Stanley Nsoki,TSG 1899 Hoffenheim,Centre-Back,"Apr 9, 1999",24,France,€5.50m
275,Kevin Akpoguma,TSG 1899 Hoffenheim,Centre-Back,"Apr 19, 1995",28,Nigeria,€3.50m
276,Kevin Vogt,TSG 1899 Hoffenheim,Centre-Back,"Sep 23, 1991",31,Germany,€2.50m
277,Eduardo Quaresma,TSG 1899 Hoffenheim,Centre-Back,"Mar 2, 2002",21,Portugal,€2.50m
278,John Brooks,TSG 1899 Hoffenheim,Centre-Back,"Jan 28, 1993",30,United States,€2.00m
279,Ermin Bicakcic,TSG 1899 Hoffenheim,Centre-Back,"Jan 24, 1990",33,Bosnia-Herzegovina,€700k
280,Joshua Quarshie,TSG 1899 Hoffenheim,Centre-Back,"Jul 26, 2004",18,Germany,€250k
281,Benjamin Hübner,TSG 1899 Hoffenheim,Centre-Back,"Jul 4, 1989",33,Germany,-
282,Angeliño,TSG 1899 Hoffenheim,Left-Back,"Jan 4, 1997",26,Spain,€12.00m
283,Stefan Posch,TSG 1899 Hoffenheim,Right-Back,"May 14, 1997",26,Austria,€14.00m
284,Pavel Kaderabek,TSG 1899 Hoffenheim,Right-Back,"Apr 25, 1992",31,Czech Republic,€3.00m
285,Justin Che,TSG 1899 Hoffenheim,Right-Back,"Nov 18, 2003",19,United States,€1.50m
286,Diadié Samassékou,TSG 1899 Hoffenheim,Defensive Midfield,"Jan 11, 1996",27,Mali,€7.00m
287,Angelo Stiller,TSG 1899 Hoffenheim,Defensive Midfield,"Apr 4, 2001",22,Germany,€5.00m
288,Sebastian Rudy,TSG 1899 Hoffenheim,Defensive Midfield,"Feb 28, 1990",33,Germany,€1.00m
289,Melayro Bogarde,TSG 1899 Hoffenheim,Defensive Midfield,"May 28, 2002",21,Netherlands,€700k
290,Dennis Geiger,TSG 1899 Hoffenheim,Central Midfield,"Jun 10, 1998",25,Germany,€8.00m
291,Grischa Prömel,TSG 1899 Hoffenheim,Central Midfield,"Jan 9, 1995",28,Germany,€7.00m
292,Finn Ole Becker,TSG 1899 Hoffenheim,Central Midfield,"Jun 8, 2000",23,Germany,€2.50m
293,Thomas Delaney,TSG 1899 Hoffenheim,Central Midfield,"Sep 3, 1991",31,Denmark,€2.00m
294,Umut Tohumcu,TSG 1899 Hoffenheim,Central Midfield,"Aug 11, 2004",18,Germany,€1.50m
295,Robert Skov,TSG 1899 Hoffenheim,Left Midfield,"May 20, 1996",27,Denmark,€6.50m
296,Christoph Baumgartner,TSG 1899 Hoffenheim,Attacking Midfield,"Aug 1, 1999",23,Austria,€24.00m
297,Tom Bischof,TSG 1899 Hoffenheim,Attacking Midfield,"Jun 28, 2005",18,Germany,€3.50m
298,Muhammed Damar,TSG 1899 Hoffenheim,Attacking Midfield,"Apr 9, 2004",19,Germany,€1.00m
299,Jacob Bruun Larsen,TSG 1899 Hoffenheim,Left Winger,"Sep 19, 1998",24,Denmark,€3.00m
300,Georginio Rutter,TSG 1899 Hoffenheim,Centre-Forward,"Apr 20, 2002",21,France,€18.00m
301,Andrej Kramaric,TSG 1899 Hoffenheim,Centre-Forward,"Jun 19, 1991",32,Croatia,€8.00m
302,Ihlas Bebou,TSG 1899 Hoffenheim,Centre-Forward,"Apr 23, 1994",29,Togo,€7.00m
303,Kasper Dolberg,TSG 1899 Hoffenheim,Centre-Forward,"Oct 6, 1997",25,Denmark,€7.00m
304,Munas Dabbur,TSG 1899 Hoffenheim,Centre-Forward,"May 14, 1992",31,Israel,€3.00m
305,Fisnik Asllani,TSG 1899 Hoffenheim,Centre-Forward,"Aug 8, 2002",20,Germany,€800k
306,Frederik Rönnow,1.FC Union Berlin,Goalkeeper,"Aug 4, 1992",30,Denmark,€5.50m
307,Lennart Grill,1.FC Union Berlin,Goalkeeper,"Jan 25, 1999",24,Germany,€1.00m
308,Jakob Busk,1.FC Union Berlin,Goalkeeper,"Sep 12, 1993",29,Denmark,€250k
309,Yannic Stein,1.FC Union Berlin,Goalkeeper,"Sep 17, 2004",18,Germany,€200k
310,Danilho Doekhi,1.FC Union Berlin,Centre-Back,"Jun 30, 1998",25,Netherlands,€17.00m
311,Diogo Leite,1.FC Union Berlin,Centre-Back,"Jan 23, 1999",24,Portugal,€15.00m
312,Paul Jaeckel,1.FC Union Berlin,Centre-Back,"Jul 22, 1998",24,Germany,€5.00m
313,Robin Knoche,1.FC Union Berlin,Centre-Back,"May 22, 1992",31,Germany,€5.00m
314,Timo Baumgartl,1.FC Union Berlin,Centre-Back,"Mar 4, 1996",27,Germany,€3.00m
315,Dominique Heintz,1.FC Union Berlin,Centre-Back,"Aug 15, 1993",29,Germany,€1.20m
316,Jérôme Roussillon,1.FC Union Berlin,Left-Back,"Jan 6, 1993",30,Guadeloupe,€3.00m
317,Tymoteusz Puchacz,1.FC Union Berlin,Left-Back,"Jan 23, 1999",24,Poland,€1.20m
318,Niko Gießelmann,1.FC Union Berlin,Left-Back,"Sep 26, 1991",31,Germany,€1.00m
319,Julian Ryerson,1.FC Union Berlin,Right-Back,"Nov 17, 1997",25,Norway,€13.00m
320,Josip Juranovic,1.FC Union Berlin,Right-Back,"Aug 16, 1995",27,Croatia,€12.00m
321,Christopher Trimmel,1.FC Union Berlin,Right-Back,"Feb 24, 1987",36,Austria,€800k
322,Rani Khedira,1.FC Union Berlin,Defensive Midfield,"Jan 27, 1994",29,Germany,€10.00m
323,Aljoscha Kemlein,1.FC Union Berlin,Defensive Midfield,"Aug 2, 2004",18,Germany,€250k
324,Janik Haberer,1.FC Union Berlin,Central Midfield,"Apr 2, 1994",29,Germany,€7.00m
325,Aïssa Laïdouni,1.FC Union Berlin,Central Midfield,"Dec 13, 1996",26,Tunisia,€7.00m
326,Morten Thorsby,1.FC Union Berlin,Central Midfield,"May 5, 1996",27,Norway,€5.50m
327,András Schäfer,1.FC Union Berlin,Central Midfield,"Apr 13, 1999",24,Hungary,€5.00m
328,Paul Seguin,1.FC Union Berlin,Central Midfield,"Mar 29, 1995",28,Germany,€2.50m
329,Kevin Möhwald,1.FC Union Berlin,Central Midfield,"Jul 3, 1993",29,Germany,€600k
330,Milos Pantovic,1.FC Union Berlin,Attacking Midfield,"Jul 7, 1996",26,Serbia,€1.50m
331,Genki Haraguchi,1.FC Union Berlin,Attacking Midfield,"May 9, 1991",32,Japan,€1.00m
332,Levin Öztunali,1.FC Union Berlin,Left Winger,"Mar 15, 1996",27,Germany,€1.20m
333,Jamie Leweling,1.FC Union Berlin,Right Winger,"Feb 26, 2001",22,Germany,€3.00m
334,Tim Skarke,1.FC Union Berlin,Right Winger,"Sep 7, 1996",26,Germany,€1.20m
335,Tim Maciejewski,1.FC Union Berlin,Right Winger,"Mar 5, 2001",22,Germany,€350k
336,Sheraldo Becker,1.FC Union Berlin,Centre-Forward,"Feb 9, 1995",28,Suriname,€17.00m
337,Jordan,1.FC Union Berlin,Centre-Forward,"Apr 26, 1996",27,United States,€7.00m
338,Kevin Behrens,1.FC Union Berlin,Centre-Forward,"Feb 3, 1991",32,Germany,€2.00m
339,Sven Michel,1.FC Union Berlin,Centre-Forward,"Jul 15, 1990",32,Germany,€900k
340,Andreas Voglsammer,1.FC Union Berlin,Centre-Forward,"Jan 9, 1992",31,Germany,€800k
341,Malick Sanogo,1.FC Union Berlin,Centre-Forward,"Jun 30, 2004",19,United States,-
342,Florian Müller,VfB Stuttgart,Goalkeeper,"Nov 13, 1997",25,Germany,€1.50m
343,Fabian Bredlow,VfB Stuttgart,Goalkeeper,"Mar 2, 1995",28,Germany,€1.50m
344,Dennis Seimen,VfB Stuttgart,Goalkeeper,"Dec 1, 2005",17,Germany,€200k
345,Florian Schock,VfB Stuttgart,Goalkeeper,"May 22, 2001",22,Germany,€200k
346,Nicolas Glaus,VfB Stuttgart,Goalkeeper,"May 10, 2002",21,Switzerland,€125k
347,Konstantinos Mavropanos,VfB Stuttgart,Centre-Back,"Dec 11, 1997",25,Greece,€15.00m
348,Hiroki Ito,VfB Stuttgart,Centre-Back,"May 12, 1999",24,Japan,€10.00m
349,Waldemar Anton,VfB Stuttgart,Centre-Back,"Jul 20, 1996",26,Germany,€4.50m
350,Dan-Axel Zagadou,VfB Stuttgart,Centre-Back,"Jun 3, 1999",24,France,€2.50m
351,Leon Reichardt,VfB Stuttgart,Centre-Back,"Jun 28, 2004",19,Germany,-
352,Borna Sosa,VfB Stuttgart,Left-Back,"Jan 21, 1998",25,Croatia,€12.00m
353,Clinton Mola,VfB Stuttgart,Left-Back,"Mar 15, 2001",22,England,€500k
354,Josha Vagnoman,VfB Stuttgart,Right-Back,"Dec 11, 2000",22,Germany,€8.00m
355,Pascal Stenzel,VfB Stuttgart,Right-Back,"Mar 20, 1996",27,Germany,€1.50m
356,Antonis Aidonis,VfB Stuttgart,Right-Back,"May 22, 2001",22,Germany,€350k
357,Mattis Hoppe,VfB Stuttgart,Right-Back,"Jul 23, 2003",19,Germany,€150k
358,Wataru Endo,VfB Stuttgart,Defensive Midfield,"Feb 9, 1993",30,Japan,€6.50m
359,Atakan Karazor,VfB Stuttgart,Defensive Midfield,"Oct 13, 1996",26,Germany,€4.00m
360,Luca Bazzoli,VfB Stuttgart,Defensive Midfield,"Nov 1, 2000",22,Germany,€225k
361,Naouirou Ahamada,VfB Stuttgart,Central Midfield,"Mar 29, 2002",21,France,€10.00m
362,Nikolas Nartey,VfB Stuttgart,Central Midfield,"Feb 22, 2000",23,Denmark,€1.50m
363,Gil Dias,VfB Stuttgart,Left Midfield,"Sep 28, 1996",26,Portugal,€1.50m
364,Enzo Millot,VfB Stuttgart,Attacking Midfield,"Jul 17, 2002",20,France,€7.00m
365,Lilian Egloff,VfB Stuttgart,Attacking Midfield,"Aug 20, 2002",20,Germany,€1.50m
366,Genki Haraguchi,VfB Stuttgart,Attacking Midfield,"May 9, 1991",32,Japan,€1.00m
367,Ömer Beyaz,VfB Stuttgart,Attacking Midfield,"Aug 29, 2003",19,Türkiye,€700k
368,Laurin Ulrich,VfB Stuttgart,Attacking Midfield,"Jan 31, 2005",18,Germany,€500k
369,Chris Führich,VfB Stuttgart,Left Winger,"Jan 9, 1998",25,Germany,€4.00m
370,Darko Churlinov,VfB Stuttgart,Left Winger,"Jul 11, 2000",22,North Macedonia,€2.20m
371,Mateo Klimowicz,VfB Stuttgart,Left Winger,"Jul 6, 2000",22,Germany,€1.20m
372,Silas,VfB Stuttgart,Right Winger,"Oct 6, 1998",24,DR Congo,€8.00m
373,Tanguy Coulibaly,VfB Stuttgart,Right Winger,"Feb 18, 2001",22,France,€2.50m
374,Sasa Kalajdzic,VfB Stuttgart,Centre-Forward,"Jul 7, 1997",25,Austria,€15.00m
375,Serhou Guirassy,VfB Stuttgart,Centre-Forward,"Mar 12, 1996",27,Guinea,€14.00m
376,Tiago Tomás,VfB Stuttgart,Centre-Forward,"Jun 16, 2002",21,Portugal,€7.00m
377,Juan-José Perea,VfB Stuttgart,Centre-Forward,"Feb 23, 2000",23,Colombia,€2.00m
378,Luca Pfeiffer,VfB Stuttgart,Centre-Forward,"Aug 20, 1996",26,Germany,€1.70m
379,Thomas Kastanaras,VfB Stuttgart,Centre-Forward,"Jan 9, 2003",20,Germany,€700k
380,Alou Kuol,VfB Stuttgart,Centre-Forward,"Jul 5, 2001",21,Australia,€300k
381,Robin Zentner,1.FSV Mainz 05,Goalkeeper,"Oct 28, 1994",28,Germany,€5.00m
382,Finn Dahmen,1.FSV Mainz 05,Goalkeeper,"Mar 27, 1998",25,Germany,€2.50m
383,Lasse Rieß,1.FSV Mainz 05,Goalkeeper,"Jul 27, 2001",21,Germany,€200k
384,Andreas Hanche-Olsen,1.FSV Mainz 05,Centre-Back,"Jan 17, 1997",26,Norway,€7.50m
385,Edimilson Fernandes,1.FSV Mainz 05,Centre-Back,"Apr 15, 1996",27,Switzerland,€5.50m
386,Alexander Hack,1.FSV Mainz 05,Centre-Back,"Sep 8, 1993",29,Germany,€2.50m
387,Maxim Leitsch,1.FSV Mainz 05,Centre-Back,"May 18, 1998",25,Germany,€2.00m
388,Stefan Bell,1.FSV Mainz 05,Centre-Back,"Aug 24, 1991",31,Germany,€2.00m
389,Philipp Schulz,1.FSV Mainz 05,Centre-Back,"May 25, 2005",18,Germany,€300k
390,Lucas Laux,1.FSV Mainz 05,Centre-Back,"Oct 14, 2002",20,Germany,€175k
391,Anthony Caci,1.FSV Mainz 05,Left-Back,"Jul 1, 1997",25,France,€8.50m
392,Aarón Martín,1.FSV Mainz 05,Left-Back,"Apr 22, 1997",26,Spain,€7.00m
393,Anderson Lucoqui,1.FSV Mainz 05,Left-Back,"Jul 6, 1997",25,Angola,€600k
394,Silvan Widmer,1.FSV Mainz 05,Right-Back,"Mar 5, 1993",30,Switzerland,€3.50m
395,Danny da Costa,1.FSV Mainz 05,Right-Back,"Jul 13, 1993",29,Germany,€1.80m
396,Dominik Kohr,1.FSV Mainz 05,Defensive Midfield,"Jan 31, 1994",29,Germany,€3.50m
397,Niklas Tauer,1.FSV Mainz 05,Defensive Midfield,"Feb 17, 2001",22,Germany,€1.20m
398,Anton Stach,1.FSV Mainz 05,Central Midfield,"Nov 15, 1998",24,Germany,€15.00m
399,Leandro Barreiro,1.FSV Mainz 05,Central Midfield,"Jan 3, 2000",23,Luxembourg,€14.00m
400,Merveille Papela,1.FSV Mainz 05,Central Midfield,"Jan 18, 2001",22,Germany,€1.00m
401,Eniss Shabani,1.FSV Mainz 05,Central Midfield,"May 29, 2003",20,Albania,€200k
402,Angelo Fulgini,1.FSV Mainz 05,Attacking Midfield,"Aug 20, 1996",26,France,€9.00m
403,Jae-sung Lee,1.FSV Mainz 05,Attacking Midfield,"Aug 10, 1992",30,"Korea, South",€4.00m
404,Aymen Barkok,1.FSV Mainz 05,Attacking Midfield,"May 21, 1998",25,Morocco,€2.00m
405,Kaito Mizuta,1.FSV Mainz 05,Attacking Midfield,"Apr 8, 2000",23,Japan,€225k
406,Delano Burgzorg,1.FSV Mainz 05,Left Winger,"Nov 7, 1998",24,Netherlands,€1.50m
407,Ben Bobzien,1.FSV Mainz 05,Right Winger,"Apr 29, 2003",20,Germany,€600k
408,Brajan Gruda,1.FSV Mainz 05,Right Winger,"May 31, 2004",19,Germany,€500k
409,Jonathan Burkardt,1.FSV Mainz 05,Centre-Forward,"Jul 11, 2000",22,Germany,€10.00m
410,Ludovic Ajorque,1.FSV Mainz 05,Centre-Forward,"Feb 25, 1994",29,France,€9.00m
411,Marcus Ingvartsen,1.FSV Mainz 05,Centre-Forward,"Jan 4, 1996",27,Denmark,€5.50m
412,Nelson Weiper,1.FSV Mainz 05,Centre-Forward,"Mar 17, 2005",18,Germany,€5.00m
413,Karim Onisiwo,1.FSV Mainz 05,Centre-Forward,"Mar 17, 1992",31,Austria,€3.50m
414,Marlon Mustapha,1.FSV Mainz 05,Centre-Forward,"May 24, 2001",22,Austria,€1.00m
415,Tomas Koubek,FC Augsburg,Goalkeeper,"Aug 26, 1992",30,Czech Republic,€1.00m
416,Rafal Gikiewicz,FC Augsburg,Goalkeeper,"Oct 26, 1987",35,Poland,€900k
417,Daniel Klein,FC Augsburg,Goalkeeper,"Mar 13, 2001",22,Germany,€300k
418,Benjamin Leneis,FC Augsburg,Goalkeeper,"Mar 8, 1999",24,Germany,€100k
419,Felix Uduokhai,FC Augsburg,Centre-Back,"Sep 9, 1997",25,Germany,€8.50m
420,Reece Oxford,FC Augsburg,Centre-Back,"Dec 16, 1998",24,England,€5.50m
421,Maximilian Bauer,FC Augsburg,Centre-Back,"Feb 9, 2000",23,Germany,€3.50m
422,Jeffrey Gouweleeuw,FC Augsburg,Centre-Back,"Jul 10, 1991",31,Netherlands,€3.00m
423,Frederik Winther,FC Augsburg,Centre-Back,"Jan 4, 2001",22,Denmark,€1.00m
424,Felix Götze,FC Augsburg,Centre-Back,"Feb 11, 1998",25,Germany,€400k
425,Daniel Katic,FC Augsburg,Centre-Back,"Apr 26, 2003",20,Croatia,€125k
426,Iago,FC Augsburg,Left-Back,"Mar 23, 1997",26,Brazil,€5.50m
427,Mads Pedersen,FC Augsburg,Left-Back,"Sep 1, 1996",26,Denmark,€3.50m
428,David Colina,FC Augsburg,Left-Back,"Jul 19, 2000",22,Croatia,€1.50m
429,Robert Gumny,FC Augsburg,Right-Back,"Jun 4, 1998",25,Poland,€3.50m
430,Raphael Framberger,FC Augsburg,Right-Back,"Sep 6, 1995",27,Germany,€800k
431,Niklas Dorsch,FC Augsburg,Defensive Midfield,"Jan 15, 1998",25,Germany,€7.00m
432,Carlos Gruezo,FC Augsburg,Defensive Midfield,"Apr 19, 1995",28,Ecuador,€3.00m
433,Renato Veiga,FC Augsburg,Defensive Midfield,"Jul 29, 2003",19,Portugal,€1.00m
434,Tobias Strobl,FC Augsburg,Defensive Midfield,"May 12, 1990",33,Germany,€500k
435,Julian Baumgartlinger,FC Augsburg,Defensive Midfield,"Jan 2, 1988",35,Austria,€400k
436,Arne Engels,FC Augsburg,Central Midfield,"Sep 8, 2003",19,Belgium,€7.50m
437,Arne Maier,FC Augsburg,Central Midfield,"Jan 8, 1999",24,Germany,€6.50m
438,Elvis Rexhbecaj,FC Augsburg,Central Midfield,"Nov 1, 1997",25,Germany,€3.50m
439,Aaron Zehnter,FC Augsburg,Left Midfield,"Oct 31, 2004",18,Germany,€300k
440,Fredrik Jensen,FC Augsburg,Attacking Midfield,"Sep 9, 1997",25,Finland,€2.50m
441,Lukas Petkov,FC Augsburg,Attacking Midfield,"Nov 1, 2000",22,Bulgaria,€800k
442,Josué Mbila,FC Augsburg,Attacking Midfield,"Aug 21, 1999",23,Germany,€100k
443,Mert Kömür,FC Augsburg,Attacking Midfield,"Jul 17, 2005",17,Germany,-
444,Nathanaël Mbuku,FC Augsburg,Left Winger,"Mar 16, 2002",21,France,€3.00m
445,Rubén Vargas,FC Augsburg,Right Winger,"Aug 5, 1998",24,Switzerland,€6.50m
446,André Hahn,FC Augsburg,Right Winger,"Aug 13, 1990",32,Germany,€1.20m
447,Noah Sarenren Bazee,FC Augsburg,Right Winger,"Aug 21, 1996",26,Germany,€600k
448,Daniel Caligiuri,FC Augsburg,Right Winger,"Jan 15, 1988",35,Italy,€600k
449,Ermedin Demirovic,FC Augsburg,Centre-Forward,"Mar 25, 1998",25,Bosnia-Herzegovina,€12.00m
450,Mergim Berisha,FC Augsburg,Centre-Forward,"May 11, 1998",25,Germany,€12.00m
451,Ricardo Pepi,FC Augsburg,Centre-Forward,"Jan 9, 2003",20,United States,€9.00m
452,Dion Beljo,FC Augsburg,Centre-Forward,"Mar 1, 2002",21,Croatia,€6.50m
453,Kelvin Yeboah,FC Augsburg,Centre-Forward,"May 6, 2000",23,Italy,€3.50m
454,Irvin Cardona,FC Augsburg,Centre-Forward,"Aug 8, 1997",25,France,€2.50m
455,Maurice Malone,FC Augsburg,Centre-Forward,"Aug 17, 2000",22,Germany,€1.80m
456,Florian Niederlechner,FC Augsburg,Centre-Forward,"Oct 24, 1990",32,Germany,€800k
457,Marvin Schwäbe,1.FC Köln,Goalkeeper,"Apr 25, 1995",28,Germany,€7.00m
458,Jonas Urbig,1.FC Köln,Goalkeeper,"Aug 8, 2003",19,Germany,€1.50m
459,Timo Horn,1.FC Köln,Goalkeeper,"May 12, 1993",30,Germany,€1.50m
460,Julian Roloff,1.FC Köln,Goalkeeper,"Jan 17, 2001",22,Germany,€100k
461,Matthias Köbbing,1.FC Köln,Goalkeeper,"May 28, 1997",26,Germany,€100k
462,Timo Hübers,1.FC Köln,Centre-Back,"Jul 20, 1996",26,Germany,€8.50m
463,Jeff Chabot,1.FC Köln,Centre-Back,"Feb 12, 1998",25,Germany,€5.50m
464,Luca Kilian,1.FC Köln,Centre-Back,"Sep 1, 1999",23,Germany,€3.50m
465,Nikola Soldo,1.FC Köln,Centre-Back,"Jan 25, 2001",22,Croatia,€1.50m
466,Elias Bakatukanda,1.FC Köln,Centre-Back,"Apr 13, 2004",19,Germany,€250k
467,Rijad Smajic,1.FC Köln,Centre-Back,"May 2, 2004",19,Bosnia-Herzegovina,€150k
468,Jonas Hector,1.FC Köln,Left-Back,"May 27, 1990",33,Germany,€3.50m
469,Kristian Pedersen,1.FC Köln,Left-Back,"Aug 4, 1994",28,Denmark,€1.20m
470,Benno Schmitz,1.FC Köln,Right-Back,"Nov 17, 1994",28,Germany,€3.00m
471,Kingsley Ehizibue,1.FC Köln,Right-Back,"May 25, 1995",28,Netherlands,€2.50m
472,Kingsley Schindler,1.FC Köln,Right-Back,"Jul 12, 1993",29,Ghana,€1.00m
473,Ellyes Skhiri,1.FC Köln,Defensive Midfield,"May 10, 1995",28,Tunisia,€13.00m
474,Dejan Ljubicic,1.FC Köln,Defensive Midfield,"Oct 8, 1997",25,Austria,€10.00m
475,Eric Martel,1.FC Köln,Defensive Midfield,"Apr 29, 2002",21,Germany,€9.00m
476,Georg Strauch,1.FC Köln,Defensive Midfield,"Mar 30, 2001",22,Germany,€200k
477,Denis Huseinbasic,1.FC Köln,Central Midfield,"Jul 3, 2001",21,Bosnia-Herzegovina,€5.00m
478,Ondrej Duda,1.FC Köln,Central Midfield,"Dec 5, 1994",28,Slovakia,€3.40m
479,Mathias Olesen,1.FC Köln,Central Midfield,"Mar 21, 2001",22,Luxembourg,€1.20m
480,Florian Kainz,1.FC Köln,Attacking Midfield,"Oct 24, 1992",30,Austria,€5.00m
481,Joshua Schwirten,1.FC Köln,Attacking Midfield,"Jan 7, 2002",21,Germany,€200k
482,Justin Diehl,1.FC Köln,Left Winger,"Nov 27, 2004",18,Germany,€500k
483,Jan Thielmann,1.FC Köln,Right Winger,"May 26, 2002",21,Germany,€6.50m
484,Linton Maina,1.FC Köln,Right Winger,"Jun 23, 1999",24,Germany,€6.00m
485,Dimitrios Limnios,1.FC Köln,Right Winger,"May 27, 1998",25,Greece,€2.00m
486,Steffen Tigges,1.FC Köln,Centre-Forward,"Jul 31, 1998",24,Germany,€3.50m
487,Davie Selke,1.FC Köln,Centre-Forward,"Jan 20, 1995",28,Germany,€2.50m
488,Mark Uth,1.FC Köln,Centre-Forward,"Aug 24, 1991",31,Germany,€1.50m
489,Tim Lemperle,1.FC Köln,Centre-Forward,"Feb 5, 2002",21,Germany,€1.50m
490,Sargis Adamyan,1.FC Köln,Centre-Forward,"May 23, 1993",30,Armenia,€1.00m
491,Florian Dietz,1.FC Köln,Centre-Forward,"Aug 3, 1998",24,Germany,€1.00m
492,Anthony Modeste,1.FC Köln,Centre-Forward,"Apr 14, 1988",35,France,€700k
493,Sebastian Andersson,1.FC Köln,Centre-Forward,"Jul 15, 1991",31,Sweden,€700k
494,Damion Downs,1.FC Köln,Centre-Forward,"Jul 6, 2004",18,United States,€250k
495,Maximilian Schmid,1.FC Köln,Centre-Forward,"Mar 5, 2003",20,Germany,€200k
496,Oliver Christensen,Hertha BSC,Goalkeeper,"Mar 22, 1999",24,Denmark,€4.00m
497,Tjark Ernst,Hertha BSC,Goalkeeper,"Mar 15, 2003",20,Germany,€400k
498,Rune Jarstein,Hertha BSC,Goalkeeper,"Sep 29, 1984",38,Norway,€300k
499,Robert Kwasigroch,Hertha BSC,Goalkeeper,"Jun 26, 2004",19,Germany,€200k
500,Marc Oliver Kempf,Hertha BSC,Centre-Back,"Jan 28, 1995",28,Germany,€3.50m
501,Márton Dárdai,Hertha BSC,Centre-Back,"Feb 12, 2002",21,Hungary,€3.50m
502,Linus Gechter,Hertha BSC,Centre-Back,"Feb 27, 2004",19,Germany,€2.50m
503,Filip Uremovic,Hertha BSC,Centre-Back,"Feb 11, 1997",26,Croatia,€2.00m
504,Agustín Rogel,Hertha BSC,Centre-Back,"Oct 17, 1997",25,Uruguay,€1.50m
505,Dedryck Boyata,Hertha BSC,Centre-Back,"Nov 28, 1990",32,Belgium,€1.00m
506,Joel da Silva Kiala,Hertha BSC,Centre-Back,"Jan 21, 2004",19,Germany,€250k
507,Maximilian Mittelstädt,Hertha BSC,Left-Back,"Mar 18, 1997",26,Germany,€2.00m
508,Marvin Plattenhardt,Hertha BSC,Left-Back,"Jan 26, 1992",31,Germany,€1.00m
509,Lukas Ullrich,Hertha BSC,Left-Back,"Mar 16, 2004",19,Germany,€750k
510,Jonjoe Kenny,Hertha BSC,Right-Back,"Mar 15, 1997",26,England,€3.00m
511,Deyovaisio Zeefuik,Hertha BSC,Right-Back,"Mar 11, 1998",25,Netherlands,€1.20m
512,Peter Pekarík,Hertha BSC,Right-Back,"Oct 30, 1986",36,Slovakia,€500k
513,Julian Eitschberger,Hertha BSC,Right-Back,"Mar 5, 2004",19,Germany,€350k
514,Lucas Tousart,Hertha BSC,Defensive Midfield,"Apr 29, 1997",26,France,€9.00m
515,Ivan Sunjic,Hertha BSC,Defensive Midfield,"Oct 9, 1996",26,Croatia,€1.50m
516,Tolga Ciğerci,Hertha BSC,Defensive Midfield,"Mar 23, 1992",31,Türkiye,€700k
517,Pascal Klemens,Hertha BSC,Defensive Midfield,"Feb 23, 2005",18,Germany,€300k
518,Veit Stange,Hertha BSC,Defensive Midfield,"Feb 8, 2004",19,Germany,€250k
519,Suat Serdar,Hertha BSC,Central Midfield,"Apr 11, 1997",26,Germany,€4.50m
520,Vladimír Darida,Hertha BSC,Central Midfield,"Aug 8, 1990",32,Czech Republic,€1.50m
521,Marco Richter,Hertha BSC,Attacking Midfield,"Nov 24, 1997",25,Germany,€5.00m
522,Jean-Paul Boëtius,Hertha BSC,Attacking Midfield,"Mar 22, 1994",29,Netherlands,€1.50m
523,Kevin-Prince Boateng,Hertha BSC,Attacking Midfield,"Mar 6, 1987",36,Ghana,€700k
524,Ibrahim Maza,Hertha BSC,Attacking Midfield,"Nov 24, 2005",17,Germany,€600k
525,Tony Rölke,Hertha BSC,Attacking Midfield,"Jan 22, 2003",20,Germany,€200k
526,Chidera Ejuke,Hertha BSC,Left Winger,"Jan 2, 1998",25,Nigeria,€5.50m
527,Myziane Maolida,Hertha BSC,Left Winger,"Feb 14, 1999",24,Comoros,€1.50m
528,Dodi Lukébakio,Hertha BSC,Right Winger,"Sep 24, 1997",25,Belgium,€12.00m
529,Kelian Nsona,Hertha BSC,Right Winger,"May 11, 2002",21,France,€800k
530,Krzysztof Piatek,Hertha BSC,Centre-Forward,"Jul 1, 1995",27,Poland,€7.00m
531,Jessic Ngankam,Hertha BSC,Centre-Forward,"Jul 20, 2000",22,Germany,€5.00m
532,Wilfried Kanga,Hertha BSC,Centre-Forward,"Feb 21, 1998",25,Cote d'Ivoire,€3.00m
533,Davie Selke,Hertha BSC,Centre-Forward,"Jan 20, 1995",28,Germany,€2.50m
534,Stevan Jovetic,Hertha BSC,Centre-Forward,"Nov 2, 1989",33,Montenegro,€1.50m
535,Florian Niederlechner,Hertha BSC,Centre-Forward,"Oct 24, 1990",32,Germany,€800k
536,Derry Scherhant,Hertha BSC,Centre-Forward,"Nov 10, 2002",20,Germany,€700k
537,Jiri Pavlenka,SV Werder Bremen,Goalkeeper,"Apr 14, 1992",31,Czech Republic,€3.00m
