Name,Team,Position,Date of Birth,Age,Nationality,Market Value
John Brooks,TSG 1899 Hoffenheim,Centre-Back,"Jan 28, 1993",30,United States,€2.00m
Ermin Bicakcic,TSG 1899 Hoffenheim,Centre-Back,"Jan 24, 1990",33,Bosnia-Herzegovina,€700k
Joshua Quarshie,TSG 1899 Hoffenheim,Centre-Back,"Jul 26, 2004",18,Germany,€250k
Benjamin Hübner,TSG 1899 Hoffenheim,Centre-Back,"Jul 4, 1989",33,Germany,-
Angeliño,TSG 1899 Hoffenheim,Left-Back,"Jan 4, 1997",26,Spain,€12.00m
Stefan Posch,TSG 1899 Hoffenheim,Right-Back,"May 14, 1997",26,Austria,€14.00m
Pavel Kaderabek,TSG 1899 Hoffenheim,Right-Back,"Apr 25, 1992",31,Czech Republic,€3.00m
Justin Che,TSG 1899 Hoffenheim,Right-Back,"Nov 18, 2003",19,United States,€1.50m
Diadié Samassékou,TSG 1899 Hoffenheim,Defensive Midfield,"Jan 11, 1996",27,Mali,€7.00m
Angelo Stiller,TSG 1899 Hoffenheim,Defensive Midfield,"Apr 4, 2001",22,Germany,€5.00m
Sebastian Rudy,TSG 1899 Hoffenheim,Defensive Midfield,"Feb 28, 1990",33,Germany,€1.00m
Melayro Bogarde,TSG 1899 Hoffenheim,Defensive Midfield,"May 28, 2002",21,Netherlands,€700k
Dennis Geiger,TSG 1899 Hoffenheim,Central Midfield,"Jun 10, 1998",25,Germany,€8.00m
Grischa Prömel,TSG 1899 Hoffenheim,Central Midfield,"Jan 9, 1995",28,Germany,€7.00m
Finn Ole Becker,TSG 1899 Hoffenheim,Central Midfield,"Jun 8, 2000",23,Germany,€2.50m
Thomas Delaney,TSG 1899 Hoffenheim,Central Midfield,"Sep 3, 1991",31,Denmark,€2.00m
Umut Tohumcu,TSG 1899 Hoffenheim,Central Midfield,"Aug 11, 2004",18,Germany,€1.50m
Robert Skov,TSG 1899 Hoffenheim,Left Midfield,"May 20, 1996",27,Denmark,€6.50m
Christoph Baumgartner,TSG 1899 Hoffenheim,Attacking Midfield,"Aug 1, 1999",23,Austria,€24.00m
Tom Bischof,TSG 1899 Hoffenheim,Attacking Midfield,"Jun 28, 2005",18,Germany,€3.50m
Muhammed Damar,TSG 1899 Hoffenheim,Attacking Midfield,"Apr 9, 2004",19,Germany,€1.00m
Jacob Bruun Larsen,TSG 1899 Hoffenheim,Left Winger,"Sep 19, 1998",24,Denmark,€3.00m
Georginio Rutter,TSG 1899 Hoffenheim,Centre-Forward,"Apr 20, 2002",21,France,€18.00m
Andrej Kramaric,TSG 1899 Hoffenheim,Centre-Forward,"Jun 19, 1991",32,Croatia,€8.00m
Ihlas Bebou,TSG 1899 Hoffenheim,Centre-Forward,"Apr 23, 1994",29,Togo,€7.00m
Kasper Dolberg,TSG 1899 Hoffenheim,Centre-Forward,"Oct 6, 1997",25,Denmark,€7.00m
Munas Dabbur,TSG 1899 Hoffenheim,Centre-Forward,"May 14, 1992",31,Israel,€3.00m
Fisnik Asllani,TSG 1899 Hoffenheim,Centre-Forward,"Aug 8, 2002",20,Germany,€800k
Frederik Rönnow,1.FC Union Berlin,Goalkeeper,"Aug 4, 1992",30,Denmark,€5.50m
Lennart Grill,1.FC Union Berlin,Goalkeeper,"Jan 25, 1999",24,Germany,€1.00m
Jakob Busk,1.FC Union Berlin,Goalkeeper,"Sep 12, 1993",29,Denmark,€250k
Yannic Stein,1.FC Union Berlin,Goalkeeper,"Sep 17, 2004",18,Germany,€200k
Danilho Doekhi,1.FC Union Berlin,Centre-Back,"Jun 30, 1998",25,Netherlands,€17.00m
Diogo Leite,1.FC Union Berlin,Centre-Back,"Jan 23, 1999",24,Portugal,€15.00m
Paul Jaeckel,1.FC Union Berlin,Centre-Back,"Jul 22, 1998",24,Germany,€5.00m
Robin Knoche,1.FC Union Berlin,Centre-Back,"May 22, 1992",31,Germany,€5.00m
Timo Baumgartl,1.FC Union Berlin,Centre-Back,"Mar 4, 1996",27,Germany,€3.00m
Dominique Heintz,1.FC Union Berlin,Centre-Back,"Aug 15, 1993",29,Germany,€1.20m
Jérôme Roussillon,1.FC Union Berlin,Left-Back,"Jan 6, 1993",30,Guadeloupe,€3.00m
Tymoteusz Puchacz,1.FC Union Berlin,Left-Back,"Jan 23, 1999",24,Poland,€1.20m
Niko Gießelmann,1.FC Union Berlin,Left-Back,"Sep 26, 1991",31,Germany,€1.00m
Julian Ryerson,1.FC Union Berlin,Right-Back,"Nov 17, 1997",25,Norway,€13.00m
Josip Juranovic,1.FC Union Berlin,Right-Back,"Aug 16, 1995",27,Croatia,€12.00m
Christopher Trimmel,1.FC Union Berlin,Right-Back,"Feb 24, 1987",36,Austria,€800k
Rani Khedira,1.FC Union Berlin,Defensive Midfield,"Jan 27, 1994",29,Germany,€10.00m
Aljoscha Kemlein,1.FC Union Berlin,Defensive Midfield,"Aug 2, 2004",18,Germany,€250k
Janik Haberer,1.FC Union Berlin,Central Midfield,"Apr 2, 1994",29,Germany,€7.00m
Aïssa Laïdouni,1.FC Union Berlin,Central Midfield,"Dec 13, 1996",26,Tunisia,€7.00m
Morten Thorsby,1.FC Union Berlin,Central Midfield,"May 5, 1996",27,Norway,€5.50m
András Schäfer,1.FC Union Berlin,Central Midfield,"Apr 13, 1999",24,Hungary,€5.00m
Paul Seguin,1.FC Union Berlin,Central Midfield,"Mar 29, 1995",28,Germany,€2.50m
Kevin Möhwald,1.FC Union Berlin,Central Midfield,"Jul 3, 1993",29,Germany,€600k
Milos Pantovic,1.FC Union Berlin,Attacking Midfield,"Jul 7, 1996",26,Serbia,€1.50m
Genki Haraguchi,1.FC Union Berlin,Attacking Midfield,"May 9, 1991",32,Japan,€1.00m
Levin Öztunali,1.FC Union Berlin,Left Winger,"Mar 15, 1996",27,Germany,€1.20m
Jamie Leweling,1.FC Union Berlin,Right Winger,"Feb 26, 2001",22,Germany,€3.00m
Tim Skarke,1.FC Union Berlin,Right Winger,"Sep 7, 1996",26,Germany,€1.20m
Tim Maciejewski,1.FC Union Berlin,Right Winger,"Mar 5, 2001",22,Germany,€350k
Sheraldo Becker,1.FC Union Berlin,Centre-Forward,"Feb 9, 1995",28,Suriname,€17.00m
Jordan,1.FC Union Berlin,Centre-Forward,"Apr 26, 1996",27,United States,€7.00m
Kevin Behrens,1.FC Union Berlin,Centre-Forward,"Feb 3, 1991",32,Germany,€2.00m
Sven Michel,1.FC Union Berlin,Centre-Forward,"Jul 15, 1990",32,Germany,€900k
Andreas Voglsammer,1.FC Union Berlin,Centre-Forward,"Jan 9, 1992",31,Germany,€800k
Malick Sanogo,1.FC Union Berlin,Centre-Forward,"Jun 30, 2004",19,United States,-
Florian Müller,VfB Stuttgart,Goalkeeper,"Nov 13, 1997",25,Germany,€1.50m
Fabian Bredlow,VfB Stuttgart,Goalkeeper,"Mar 2, 1995",28,Germany,€1.50m
Dennis Seimen,VfB Stuttgart,Goalkeeper,"Dec 1, 2005",17,Germany,€200k
Florian Schock,VfB Stuttgart,Goalkeeper,"May 22, 2001",22,Germany,€200k
Nicolas Glaus,VfB Stuttgart,Goalkeeper,"May 10, 2002",21,Switzerland,€125k
Konstantinos Mavropanos,VfB Stuttgart,Centre-Back,"Dec 11, 1997",25,Greece,€15.00m
Hiroki Ito,VfB Stuttgart,Centre-Back,"May 12, 1999",24,Japan,€10.00m
Waldemar Anton,VfB Stuttgart,Centre-Back,"Jul 20, 1996",26,Germany,€4.50m
Dan-Axel Zagadou,VfB Stuttgart,Centre-Back,"Jun 3, 1999",24,France,€2.50m
Leon Reichardt,VfB Stuttgart,Centre-Back,"Jun 28, 2004",19,Germany,-
Borna Sosa,VfB Stuttgart,Left-Back,"Jan 21, 1998",25,Croatia,€12.00m
Clinton Mola,VfB Stuttgart,Left-Back,"Mar 15, 2001",22,England,€500k
Josha Vagnoman,VfB Stuttgart,Right-Back,"Dec 11, 2000",22,Germany,€8.00m
Pascal Stenzel,VfB Stuttgart,Right-Back,"Mar 20, 1996",27,Germany,€1.50m
Antonis Aidonis,VfB Stuttgart,Right-Back,"May 22, 2001",22,Germany,€350k
Mattis Hoppe,VfB Stuttgart,Right-Back,"Jul 23, 2003",19,Germany,€150k
Wataru Endo,VfB Stuttgart,Defensive Midfield,"Feb 9, 1993",30,Japan,€6.50m
Atakan Karazor,VfB Stuttgart,Defensive Midfield,"Oct 13, 1996",26,Germany,€4.00m
Luca Bazzoli,VfB Stuttgart,Defensive Midfield,"Nov 1, 2000",22,Germany,€225k
Naouirou Ahamada,VfB Stuttgart,Central Midfield,"Mar 29, 2002",21,France,€10.00m
Nikolas Nartey,VfB Stuttgart,Central Midfield,"Feb 22, 2000",23,Denmark,€1.50m
Gil Dias,VfB Stuttgart,Left Midfield,"Sep 28, 1996",26,Portugal,€1.50m
Enzo Millot,VfB Stuttgart,Attacking Midfield,"Jul 17, 2002",20,France,€7.00m
Lilian Egloff,VfB Stuttgart,Attacking Midfield,"Aug 20, 2002",20,Germany,€1.50m
Genki Haraguchi,VfB Stuttgart,Attacking Midfield,"May 9, 1991",32,Japan,€1.00m
Ömer Beyaz,VfB Stuttgart,Attacking Midfield,"Aug 29, 2003",19,Türkiye,€700k
Laurin Ulrich,VfB Stuttgart,Attacking Midfield,"Jan 31, 2005",18,Germany,€500k
Chris Führich,VfB Stuttgart,Left Winger,"Jan 9, 1998",25,Germany,€4.00m
Darko Churlinov,VfB Stuttgart,Left Winger,"Jul 11, 2000",22,North Macedonia,€2.20m
Mateo Klimowicz,VfB Stuttgart,Left Winger,"Jul 6, 2000",22,Germany,€1.20m
Silas,VfB Stuttgart,Right Winger,"Oct 6, 1998",24,DR Congo,€8.00m
Tanguy Coulibaly,VfB Stuttgart,Right Winger,"Feb 18, 2001",22,France,€2.50m
Sasa Kalajdzic,VfB Stuttgart,Centre-Forward,"Jul 7, 1997",25,Austria,€15.00m
Serhou Guirassy,VfB Stuttgart,Centre-Forward,"Mar 12, 1996",27,Guinea,€14.00m
Tiago Tomás,VfB Stuttgart,Centre-Forward,"Jun 16, 2002",21,Portugal,€7.00m
Juan-José Perea,VfB Stuttgart,Centre-Forward,"Feb 23, 2000",23,Colombia,€2.00m
Luca Pfeiffer,VfB Stuttgart,Centre-Forward,"Aug 20, 1996",26,Germany,€1.70m
Thomas Kastanaras,VfB Stuttgart,Centre-Forward,"Jan 9, 2003",20,Germany,€700k
Alou Kuol,VfB Stuttgart,Centre-Forward,"Jul 5, 2001",21,Australia,€300k
Robin Zentner,1.FSV Mainz 05,Goalkeeper,"Oct 28, 1994",28,Germany,€5.00m
Finn Dahmen,1.FSV Mainz 05,Goalkeeper,"Mar 27, 1998",25,Germany,€2.50m
Lasse Rieß,1.FSV Mainz 05,Goalkeeper,"Jul 27, 2001",21,Germany,€200k
Andreas Hanche-Olsen,1.FSV Mainz 05,Centre-Back,"Jan 17, 1997",26,Norway,€7.50m
Edimilson Fernandes,1.FSV Mainz 05,Centre-Back,"Apr 15, 1996",27,Switzerland,€5.50m
Alexander Hack,1.FSV Mainz 05,Centre-Back,"Sep 8, 1993",29,Germany,€2.50m
Maxim Leitsch,1.FSV Mainz 05,Centre-Back,"May 18, 1998",25,Germany,€2.00m
Stefan Bell,1.FSV Mainz 05,Centre-Back,"Aug 24, 1991",31,Germany,€2.00m
Philipp Schulz,1.FSV Mainz 05,Centre-Back,"May 25, 2005",18,Germany,€300k
Lucas Laux,1.FSV Mainz 05,Centre-Back,"Oct 14, 2002",20,Germany,€175k
Anthony Caci,1.FSV Mainz 05,Left-Back,"Jul 1, 1997",25,France,€8.50m
Aarón Martín,1.FSV Mainz 05,Left-Back,"Apr 22, 1997",26,Spain,€7.00m
Anderson Lucoqui,1.FSV Mainz 05,Left-Back,"Jul 6, 1997",25,Angola,€600k
Silvan Widmer,1.FSV Mainz 05,Right-Back,"Mar 5, 1993",30,Switzerland,€3.50m
Danny da Costa,1.FSV Mainz 05,Right-Back,"Jul 13, 1993",29,Germany,€1.80m
Dominik Kohr,1.FSV Mainz 05,Defensive Midfield,"Jan 31, 1994",29,Germany,€3.50m
Niklas Tauer,1.FSV Mainz 05,Defensive Midfield,"Feb 17, 2001",22,Germany,€1.20m
Anton Stach,1.FSV Mainz 05,Central Midfield,"Nov 15, 1998",24,Germany,€15.00m
Leandro Barreiro,1.FSV Mainz 05,Central Midfield,"Jan 3, 2000",23,Luxembourg,€14.00m
Merveille Papela,1.FSV Mainz 05,Central Midfield,"Jan 18, 2001",22,Germany,€1.00m
Eniss Shabani,1.FSV Mainz 05,Central Midfield,"May 29, 2003",20,Albania,€200k
Angelo Fulgini,1.FSV Mainz 05,Attacking Midfield,"Aug 20, 1996",26,France,€9.00m
Jae-sung Lee,1.FSV Mainz 05,Attacking Midfield,"Aug 10, 1992",30,"Korea, South",€4.00m
Aymen Barkok,1.FSV Mainz 05,Attacking Midfield,"May 21, 1998",25,Morocco,€2.00m
Kaito Mizuta,1.FSV Mainz 05,Attacking Midfield,"Apr 8, 2000",23,Japan,€225k
Delano Burgzorg,1.FSV Mainz 05,Left Winger,"Nov 7, 1998",24,Netherlands,€1.50m
Ben Bobzien,1.FSV Mainz 05,Right Winger,"Apr 29, 2003",20,Germany,€600k
Brajan Gruda,1.FSV Mainz 05,Right Winger,"May 31, 2004",19,Germany,€500k
Jonathan Burkardt,1.FSV Mainz 05,Centre-Forward,"Jul 11, 2000",22,Germany,€10.00m
Ludovic Ajorque,1.FSV Mainz 05,Centre-Forward,"Feb 25, 1994",29,France,€9.00m
Marcus Ingvartsen,1.FSV Mainz 05,Centre-Forward,"Jan 4, 1996",27,Denmark,€5.50m
Nelson Weiper,1.FSV Mainz 05,Centre-Forward,"Mar 17, 2005",18,Germany,€5.00m
Karim Onisiwo,1.FSV Mainz 05,Centre-Forward,"Mar 17, 1992",31,Austria,€3.50m
Marlon Mustapha,1.FSV Mainz 05,Centre-Forward,"May 24, 2001",22,Austria,€1.00m
Tomas Koubek,FC Augsburg,Goalkeeper,"Aug 26, 1992",30,Czech Republic,€1.00m
Rafal Gikiewicz,FC Augsburg,Goalkeeper,"Oct 26, 1987",35,Poland,€900k
Daniel Klein,FC Augsburg,Goalkeeper,"Mar 13, 2001",22,Germany,€300k
Benjamin Leneis,FC Augsburg,Goalkeeper,"Mar 8, 1999",24,Germany,€100k
Felix Uduokhai,FC Augsburg,Centre-Back,"Sep 9, 1997",25,Germany,€8.50m
Reece Oxford,FC Augsburg,Centre-Back,"Dec 16, 1998",24,England,€5.50m
Maximilian Bauer,FC Augsburg,Centre-Back,"Feb 9, 2000",23,Germany,€3.50m
Jeffrey Gouweleeuw,FC Augsburg,Centre-Back,"Jul 10, 1991",31,Netherlands,€3.00m
Frederik Winther,FC Augsburg,Centre-Back,"Jan 4, 2001",22,Denmark,€1.00m
Felix Götze,FC Augsburg,Centre-Back,"Feb 11, 1998",25,Germany,€400k
Daniel Katic,FC Augsburg,Centre-Back,"Apr 26, 2003",20,Croatia,€125k
Iago,FC Augsburg,Left-Back,"Mar 23, 1997",26,Brazil,€5.50m
Mads Pedersen,FC Augsburg,Left-Back,"Sep 1, 1996",26,Denmark,€3.50m
David Colina,FC Augsburg,Left-Back,"Jul 19, 2000",22,Croatia,€1.50m
Robert Gumny,FC Augsburg,Right-Back,"Jun 4, 1998",25,Poland,€3.50m
Raphael Framberger,FC Augsburg,Right-Back,"Sep 6, 1995",27,Germany,€800k
Niklas Dorsch,FC Augsburg,Defensive Midfield,"Jan 15, 1998",25,Germany,€7.00m
Carlos Gruezo,FC Augsburg,Defensive Midfield,"Apr 19, 1995",28,Ecuador,€3.00m
Renato Veiga,FC Augsburg,Defensive Midfield,"Jul 29, 2003",19,Portugal,€1.00m
Tobias Strobl,FC Augsburg,Defensive Midfield,"May 12, 1990",33,Germany,€500k
Julian Baumgartlinger,FC Augsburg,Defensive Midfield,"Jan 2, 1988",35,Austria,€400k
Arne Engels,FC Augsburg,Central Midfield,"Sep 8, 2003",19,Belgium,€7.50m
Arne Maier,FC Augsburg,Central Midfield,"Jan 8, 1999",24,Germany,€6.50m
Elvis Rexhbecaj,FC Augsburg,Central Midfield,"Nov 1, 1997",25,Germany,€3.50m
Aaron Zehnter,FC Augsburg,Left Midfield,"Oct 31, 2004",18,Germany,€300k
Fredrik Jensen,FC Augsburg,Attacking Midfield,"Sep 9, 1997",25,Finland,€2.50m
Lukas Petkov,FC Augsburg,Attacking Midfield,"Nov 1, 2000",22,Bulgaria,€800k
Josué Mbila,FC Augsburg,Attacking Midfield,"Aug 21, 1999",23,Germany,€100k
Mert Kömür,FC Augsburg,Attacking Midfield,"Jul 17, 2005",17,Germany,-
Nathanaël Mbuku,FC Augsburg,Left Winger,"Mar 16, 2002",21,France,€3.00m
Rubén Vargas,FC Augsburg,Right Winger,"Aug 5, 1998",24,Switzerland,€6.50m
André Hahn,FC Augsburg,Right Winger,"Aug 13, 1990",32,Germany,€1.20m
Noah Sarenren Bazee,FC Augsburg,Right Winger,"Aug 21, 1996",26,Germany,€600k
Daniel Caligiuri,FC Augsburg,Right Winger,"Jan 15, 1988",35,Italy,€600k
Ermedin Demirovic,FC Augsburg,Centre-Forward,"Mar 25, 1998",25,Bosnia-Herzegovina,€12.00m
Mergim Berisha,FC Augsburg,Centre-Forward,"May 11, 1998",25,Germany,€12.00m
Ricardo Pepi,FC Augsburg,Centre-Forward,"Jan 9, 2003",20,United States,€9.00m
Dion Beljo,FC Augsburg,Centre-Forward,"Mar 1, 2002",21,Croatia,€6.50m
Kelvin Yeboah,FC Augsburg,Centre-Forward,"May 6, 2000",23,Italy,€3.50m
Irvin Cardona,FC Augsburg,Centre-Forward,"Aug 8, 1997",25,France,€2.50m
Maurice Malone,FC Augsburg,Centre-Forward,"Aug 17, 2000",22,Germany,€1.80m
Florian Niederlechner,FC Augsburg,Centre-Forward,"Oct 24, 1990",32,Germany,€800k
Marvin Schwäbe,1.FC Köln,Goalkeeper,"Apr 25, 1995",28,Germany,€7.00m
Jonas Urbig,1.FC Köln,Goalkeeper,"Aug 8, 2003",19,Germany,€1.50m
Timo Horn,1.FC Köln,Goalkeeper,"May 12, 1993",30,Germany,€1.50m
Julian Roloff,1.FC Köln,Goalkeeper,"Jan 17, 2001",22,Germany,€100k
Matthias Köbbing,1.FC Köln,Goalkeeper,"May 28, 1997",26,Germany,€100k
Timo Hübers,1.FC Köln,Centre-Back,"Jul 20, 1996",26,Germany,€8.50m
Jeff Chabot,1.FC Köln,Centre-Back,"Feb 12, 1998",25,Germany,€5.50m
Luca Kilian,1.FC Köln,Centre-Back,"Sep 1, 1999",23,Germany,€3.50m
Nikola Soldo,1.FC Köln,Centre-Back,"Jan 25, 2001",22,Croatia,€1.50m
Elias Bakatukanda,1.FC Köln,Centre-Back,"Apr 13, 2004",19,Germany,€250k
Rijad Smajic,1.FC Köln,Centre-Back,"May 2, 2004",19,Bosnia-Herzegovina,€150k
Jonas Hector,1.FC Köln,Left-Back,"May 27, 1990",33,Germany,€3.50m
Kristian Pedersen,1.FC Köln,Left-Back,"Aug 4, 1994",28,Denmark,€1.20m
Benno Schmitz,1.FC Köln,Right-Back,"Nov 17, 1994",28,Germany,€3.00m
Kingsley Ehizibue,1.FC Köln,Right-Back,"May 25, 1995",28,Netherlands,€2.50m
Kingsley Schindler,1.FC Köln,Right-Back,"Jul 12, 1993",29,Ghana,€1.00m
Ellyes Skhiri,1.FC Köln,Defensive Midfield,"May 10, 1995",28,Tunisia,€13.00m
Dejan Ljubicic,1.FC Köln,Defensive Midfield,"Oct 8, 1997",25,Austria,€10.00m
Eric Martel,1.FC Köln,Defensive Midfield,"Apr 29, 2002",21,Germany,€9.00m
Georg Strauch,1.FC Köln,Defensive Midfield,"Mar 30, 2001",22,Germany,€200k
Denis Huseinbasic,1.FC Köln,Central Midfield,"Jul 3, 2001",21,Bosnia-Herzegovina,€5.00m
Ondrej Duda,1.FC Köln,Central Midfield,"Dec 5, 1994",28,Slovakia,€3.40m
Mathias Olesen,1.FC Köln,Central Midfield,"Mar 21, 2001",22,Luxembourg,€1.20m
Florian Kainz,1.FC Köln,Attacking Midfield,"Oct 24, 1992",30,Austria,€5.00m
Joshua Schwirten,1.FC Köln,Attacking Midfield,"Jan 7, 2002",21,Germany,€200k
Justin Diehl,1.FC Köln,Left Winger,"Nov 27, 2004",18,Germany,€500k
Jan Thielmann,1.FC Köln,Right Winger,"May 26, 2002",21,Germany,€6.50m
Linton Maina,1.FC Köln,Right Winger,"Jun 23, 1999",24,Germany,€6.00m
Dimitrios Limnios,1.FC Köln,Right Winger,"May 27, 1998",25,Greece,€2.00m
Steffen Tigges,1.FC Köln,Centre-Forward,"Jul 31, 1998",24,Germany,€3.50m
Davie Selke,1.FC Köln,Centre-Forward,"Jan 20, 1995",28,Germany,€2.50m
Mark Uth,1.FC Köln,Centre-Forward,"Aug 24, 1991",31,Germany,€1.50m
Tim Lemperle,1.FC Köln,Centre-Forward,"Feb 5, 2002",21,Germany,€1.50m
Sargis Adamyan,1.FC Köln,Centre-Forward,"May 23, 1993",30,Armenia,€1.00m
Florian Dietz,1.FC Köln,Centre-Forward,"Aug 3, 1998",24,Germany,€1.00m
Anthony Modeste,1.FC Köln,Centre-Forward,"Apr 14, 1988",35,France,€700k
Sebastian Andersson,1.FC Köln,Centre-Forward,"Jul 15, 1991",31,Sweden,€700k
Damion Downs,1.FC Köln,Centre-Forward,"Jul 6, 2004",18,United States,€250k
Maximilian Schmid,1.FC Köln,Centre-Forward,"Mar 5, 2003",20,Germany,€200k
Oliver Christensen,Hertha BSC,Goalkeeper,"Mar 22, 1999",24,Denmark,€4.00m
Tjark Ernst,Hertha BSC,Goalkeeper,"Mar 15, 2003",20,Germany,€400k
Rune Jarstein,Hertha BSC,Goalkeeper,"Sep 29, 1984",38,Norway,€300k
Robert Kwasigroch,Hertha BSC,Goalkeeper,"Jun 26, 2004",19,Germany,€200k
Marc Oliver Kempf,Hertha BSC,Centre-Back,"Jan 28, 1995",28,Germany,€3.50m
Márton Dárdai,Hertha BSC,Centre-Back,"Feb 12, 2002",21,Hungary,€3.50m
Linus Gechter,Hertha BSC,Centre-Back,"Feb 27, 2004",19,Germany,€2.50m
Filip Uremovic,Hertha BSC,Centre-Back,"Feb 11, 1997",26,Croatia,€2.00m
Agustín Rogel,Hertha BSC,Centre-Back,"Oct 17, 1997",25,Uruguay,€1.50m
Dedryck Boyata,Hertha BSC,Centre-Back,"Nov 28, 1990",32,Belgium,€1.00m
Joel da Silva Kiala,Hertha BSC,Centre-Back,"Jan 21, 2004",19,Germany,€250k
Maximilian Mittelstädt,Hertha BSC,Left-Back,"Mar 18, 1997",26,Germany,€2.00m
Marvin Plattenhardt,Hertha BSC,Left-Back,"Jan 26, 1992",31,Germany,€1.00m
Lukas Ullrich,Hertha BSC,Left-Back,"Mar 16, 2004",19,Germany,€750k
Jonjoe Kenny,Hertha BSC,Right-Back,"Mar 15, 1997",26,England,€3.00m
Deyovaisio Zeefuik,Hertha BSC,Right-Back,"Mar 11, 1998",25,Netherlands,€1.20m
Peter Pekarík,Hertha BSC,Right-Back,"Oct 30, 1986",36,Slovakia,€500k
Julian Eitschberger,Hertha BSC,Right-Back,"Mar 5, 2004",19,Germany,€350k
Lucas Tousart,Hertha BSC,Defensive Midfield,"Apr 29, 1997",26,France,€9.00m
Ivan Sunjic,Hertha BSC,Defensive Midfield,"Oct 9, 1996",26,Croatia,€1.50m
Tolga Ciğerci,Hertha BSC,Defensive Midfield,"Mar 23, 1992",31,Türkiye,€700k
Pascal Klemens,Hertha BSC,Defensive Midfield,"Feb 23, 2005",18,Germany,€300k
Veit Stange,Hertha BSC,Defensive Midfield,"Feb 8, 2004",19,Germany,€250k
Suat Serdar,Hertha BSC,Central Midfield,"Apr 11, 1997",26,Germany,€4.50m
Vladimír Darida,Hertha BSC,Central Midfield,"Aug 8, 1990",32,Czech Republic,€1.50m
Marco Richter,Hertha BSC,Attacking Midfield,"Nov 24, 1997",25,Germany,€5.00m
Jean-Paul Boëtius,Hertha BSC,Attacking Midfield,"Mar 22, 1994",29,Netherlands,€1.50m
Kevin-Prince Boateng,Hertha BSC,Attacking Midfield,"Mar 6, 1987",36,Ghana,€700k
Ibrahim Maza,Hertha BSC,Attacking Midfield,"Nov 24, 2005",17,Germany,€600k
Tony Rölke,Hertha BSC,Attacking Midfield,"Jan 22, 2003",20,Germany,€200k
Chidera Ejuke,Hertha BSC,Left Winger,"Jan 2, 1998",25,Nigeria,€5.50m
Myziane Maolida,Hertha BSC,Left Winger,"Feb 14, 1999",24,Comoros,€1.50m
Dodi Lukébakio,Hertha BSC,Right Winger,"Sep 24, 1997",25,Belgium,€12.00m
Kelian Nsona,Hertha BSC,Right Winger,"May 11, 2002",21,France,€800k
Krzysztof Piatek,Hertha BSC,Centre-Forward,"Jul 1, 1995",27,Poland,€7.00m
Jessic Ngankam,Hertha BSC,Centre-Forward,"Jul 20, 2000",22,Germany,€5.00m
Wilfried Kanga,Hertha BSC,Centre-Forward,"Feb 21, 1998",25,Cote d'Ivoire,€3.00m
Davie Selke,Hertha BSC,Centre-Forward,"Jan 20, 1995",28,Germany,€2.50m
Stevan Jovetic,Hertha BSC,Centre-Forward,"Nov 2, 1989",33,Montenegro,€1.50m
Florian Niederlechner,Hertha BSC,Centre-Forward,"Oct 24, 1990",32,Germany,€800k
Derry Scherhant,Hertha BSC,Centre-Forward,"Nov 10, 2002",20,Germany,€700k
Jiri Pavlenka,SV Werder Bremen,Goalkeeper,"Apr 14, 1992",31,Czech Republic,€3.00m
Michael Zetterer,SV Werder Bremen,Goalkeeper,"Jul 12, 1995",27,Germany,€500k
Mio Backhaus,SV Werder Bremen,Goalkeeper,"Apr 16, 2004",19,Germany,€300k
Dudu,SV Werder Bremen,Goalkeeper,"Feb 10, 1999",24,Germany,€200k
Louis Lord,SV Werder Bremen,Goalkeeper,"Oct 22, 2003",19,Germany,€150k
Marco Friedl,SV Werder Bremen,Centre-Back,"Mar 16, 1998",25,Austria,€7.00m
Amos Pieper,SV Werder Bremen,Centre-Back,"Jan 17, 1998",25,Germany,€6.00m
Niklas Stark,SV Werder Bremen,Centre-Back,"Apr 14, 1995",28,Germany,€5.50m
Milos Veljkovic,SV Werder Bremen,Centre-Back,"Sep 26, 1995",27,Serbia,€5.50m
Anthony Jung,SV Werder Bremen,Centre-Back,"Nov 3, 1991",31,Germany,€1.50m
Fabio Chiarodia,SV Werder Bremen,Centre-Back,"Jun 5, 2005",18,Italy,€1.00m
Tim-Justin Dietrich,SV Werder Bremen,Centre-Back,"Nov 8, 2002",20,Germany,€200k
Lee Buchanan,SV Werder Bremen,Left-Back,"Mar 7, 2001",22,England,€3.50m
Mitchell Weiser,SV Werder Bremen,Right-Back,"Apr 21, 1994",29,Germany,€6.00m
Felix Agu,SV Werder Bremen,Right-Back,"Sep 27, 1999",23,Germany,€1.00m
Ilia Gruev,SV Werder Bremen,Defensive Midfield,"May 6, 2000",23,Bulgaria,€3.00m
Nicolai Rapp,SV Werder Bremen,Defensive Midfield,"Dec 13, 1996",26,Germany,€700k
Christian Groß,SV Werder Bremen,Defensive Midfield,"Feb 8, 1989",34,Germany,€500k
Tom Berger,SV Werder Bremen,Defensive Midfield,"Jul 31, 2001",21,Germany,€200k
Jens Stage,SV Werder Bremen,Central Midfield,"Nov 8, 1996",26,Denmark,€5.00m
Jean Manuel Mbom,SV Werder Bremen,Central Midfield,"Feb 24, 2000",23,Germany,€800k
Dikeni Salifou,SV Werder Bremen,Central Midfield,"Jun 8, 2003",20,Togo,€200k
Leon Opitz,SV Werder Bremen,Left Midfield,"Apr 11, 2005",18,Germany,-
Romano Schmid,SV Werder Bremen,Attacking Midfield,"Jan 27, 2000",23,Austria,€4.50m
