,Name,Team,Position,Date of Birth,Age,Nationality,Market Value
285,Marco Benassi,ACF Fiorentina,Central Midfield,"Sep 8, 1994",28,Italy,€1.50m
286,Alessandro Bianco,ACF Fiorentina,Central Midfield,"Oct 1, 2002",20,Italy,€800k
287,Costantino Favasuli,ACF Fiorentina,Left Midfield,"Apr 26, 2004",19,Italy,€200k
288,Antonín Barák,ACF Fiorentina,Attacking Midfield,"Dec 3, 1994",28,Czech Republic,€10.00m
289,Riccardo Saponara,ACF Fiorentina,Attacking Midfield,"Dec 21, 1991",31,Italy,€2.00m
290,Christian Kouamé,ACF Fiorentina,Left Winger,"Dec 6, 1997",25,Cote d'Ivoire,€12.00m
291,Riccardo Sottil,ACF Fiorentina,Left Winger,"Jun 3, 1999",24,Italy,€8.00m
292,Josip Brekalo,ACF Fiorentina,Left Winger,"Jun 23, 1998",25,Croatia,€5.00m
293,Nicolás González,ACF Fiorentina,Right Winger,"Apr 6, 1998",25,Argentina,€30.00m
294,Jonathan Ikoné,ACF Fiorentina,Right Winger,"May 2, 1998",25,France,€16.00m
295,Filippo Distefano,ACF Fiorentina,Second Striker,"Aug 28, 2003",19,Italy,€600k
296,Arthur Cabral,ACF Fiorentina,Centre-Forward,"Apr 25, 1998",25,Brazil,€20.00m
297,Luka Jović,ACF Fiorentina,Centre-Forward,"Dec 23, 1997",25,Serbia,€8.00m
298,Andrea Consigli,US Sassuolo,Goalkeeper,"Jan 27, 1987",36,Italy,€1.00m
299,Alessandro Russo,US Sassuolo,Goalkeeper,"Mar 31, 2001",22,Italy,€350k
300,Gioele Zacchi,US Sassuolo,Goalkeeper,"Jul 10, 2003",19,Italy,€150k
301,Gianluca Pegolo,US Sassuolo,Goalkeeper,"Mar 25, 1981",42,Italy,€100k
302,Martin Erlić,US Sassuolo,Centre-Back,"Jan 24, 1998",25,Croatia,€5.00m
303,Ruan Tressoldi,US Sassuolo,Centre-Back,"Jun 7, 1999",24,Brazil,€4.50m
304,Gian Marco Ferrari,US Sassuolo,Centre-Back,"May 15, 1992",31,Italy,€2.00m
305,Filippo Romagna,US Sassuolo,Centre-Back,"May 26, 1997",26,Italy,€400k
306,Adrian Cannavaro,US Sassuolo,Centre-Back,"May 10, 2004",19,Italy,€100k
307,Rogério,US Sassuolo,Left-Back,"Jan 13, 1998",25,Brazil,€5.50m
308,Riccardo Marchizza,US Sassuolo,Left-Back,"Mar 26, 1998",25,Italy,€1.00m
309,Edoardo Pieragnolo,US Sassuolo,Left-Back,"Jan 3, 2003",20,Italy,€100k
310,Jeremy Toljan,US Sassuolo,Right-Back,"Aug 8, 1994",28,Germany,€4.50m
311,Mert Müldür,US Sassuolo,Right-Back,"Apr 3, 1999",24,Türkiye,€4.00m
312,Kaan Ayhan,US Sassuolo,Right-Back,"Nov 10, 1994",28,Türkiye,€3.70m
313,Maxime López,US Sassuolo,Defensive Midfield,"Dec 4, 1997",25,France,€15.00m
314,Davide Frattesi,US Sassuolo,Central Midfield,"Sep 22, 1999",23,Italy,€25.00m
315,Matheus Henrique,US Sassuolo,Central Midfield,"Dec 19, 1997",25,Brazil,€10.00m
316,Abdou Harroui,US Sassuolo,Central Midfield,"Jan 13, 1998",25,Morocco,€2.70m
317,Pedro Obiang,US Sassuolo,Central Midfield,"Mar 27, 1992",31,Equatorial Guinea,€800k
318,Nadir Zortea,US Sassuolo,Right Midfield,"Jun 19, 1999",24,Italy,€2.00m
319,Georgios Kyriakopoulos,US Sassuolo,Left Midfield,"Feb 5, 1996",27,Greece,€3.80m
320,Hamed Junior Traorè,US Sassuolo,Attacking Midfield,"Feb 16, 2000",23,Cote d'Ivoire,€22.00m
321,Nedim Bajrami,US Sassuolo,Attacking Midfield,"Feb 28, 1999",24,Albania,€7.50m
322,Kristian Thorstvedt,US Sassuolo,Attacking Midfield,"Mar 13, 1999",24,Norway,€7.50m
323,Kevin Bruno,US Sassuolo,Attacking Midfield,"Apr 26, 2005",18,Italy,-
324,Armand Laurienté,US Sassuolo,Left Winger,"Dec 4, 1998",24,France,€18.00m
325,Emil Konradsen Ceide,US Sassuolo,Left Winger,"Sep 3, 2001",21,Norway,€2.50m
326,Domenico Berardi,US Sassuolo,Right Winger,"Aug 1, 1994",28,Italy,€18.00m
327,Luca D'Andrea,US Sassuolo,Right Winger,"Sep 6, 2004",18,Italy,€2.50m
328,Giacomo Raspadori,US Sassuolo,Second Striker,"Feb 18, 2000",23,Italy,€35.00m
329,Andrea Pinamonti,US Sassuolo,Centre-Forward,"May 19, 1999",24,Italy,€15.00m
330,Agustín Álvarez,US Sassuolo,Centre-Forward,"May 19, 2001",22,Uruguay,€8.00m
331,Janis Antiste,US Sassuolo,Centre-Forward,"Aug 18, 2002",20,France,€3.00m
332,Grégoire Defrel,US Sassuolo,Centre-Forward,"Jun 17, 1991",32,France,€1.50m
333,Vanja Milinković-Savić,Torino FC,Goalkeeper,"Feb 20, 1997",26,Serbia,€3.50m
334,Etrit Berisha,Torino FC,Goalkeeper,"Mar 10, 1989",34,Albania,€400k
335,Luca Gemello,Torino FC,Goalkeeper,"Jul 3, 2000",22,Italy,€300k
336,Matteo Fiorenza,Torino FC,Goalkeeper,"Jun 15, 2003",20,Italy,€50k
337,Perr Schuurs,Torino FC,Centre-Back,"Nov 26, 1999",23,Netherlands,€25.00m
338,Alessandro Buongiorno,Torino FC,Centre-Back,"Jun 6, 1999",24,Italy,€10.00m
339,David Zima,Torino FC,Centre-Back,"Nov 8, 2000",22,Czech Republic,€5.00m
340,Andreaw Gravillon,Torino FC,Centre-Back,"Feb 8, 1998",25,Guadeloupe,€4.00m
341,Ricardo Rodríguez,Torino FC,Centre-Back,"Aug 25, 1992",30,Switzerland,€3.50m
342,Koffi Djidji,Torino FC,Centre-Back,"Nov 30, 1992",30,Cote d'Ivoire,€3.00m
343,Ange Caumenan N'Guessan,Torino FC,Centre-Back,"Sep 1, 2003",19,France,€200k
344,Sebas Wade,Torino FC,Left-Back,"Apr 9, 2003",20,England,€10k
345,Wilfried Singo,Torino FC,Right-Back,"Dec 25, 2000",22,Cote d'Ivoire,€12.00m
346,Ola Aina,Torino FC,Right-Back,"Oct 8, 1996",26,Nigeria,€3.50m
347,Brian Bayeye,Torino FC,Right-Back,"Jun 30, 2000",23,DR Congo,€500k
348,Ali Dembélé,Torino FC,Right-Back,"Jan 5, 2004",19,France,€200k
349,Samuele Ricci,Torino FC,Defensive Midfield,"Aug 21, 2001",21,Italy,€20.00m
350,Ivan Ilić,Torino FC,Central Midfield,"Mar 17, 2001",22,Serbia,€19.00m
351,Saša Lukić,Torino FC,Central Midfield,"Aug 13, 1996",26,Serbia,€12.00m
352,Emirhan İlkhan,Torino FC,Central Midfield,"Jun 1, 2004",19,Türkiye,€4.00m
353,Karol Linetty,Torino FC,Central Midfield,"Feb 2, 1995",28,Poland,€3.50m
354,Ronaldo Vieira,Torino FC,Central Midfield,"Jul 19, 1998",24,England,€2.00m
355,Jacopo Segre,Torino FC,Central Midfield,"Feb 17, 1997",26,Italy,€1.70m
356,Gvidas Gineitis,Torino FC,Central Midfield,"Apr 15, 2004",19,Lithuania,€900k
357,Michel Adopo,Torino FC,Central Midfield,"Jul 19, 2000",22,France,€500k
358,Matthew Garbett,Torino FC,Central Midfield,"Apr 13, 2002",21,New Zealand,€300k
359,Aaron Ciammaglichella,Torino FC,Central Midfield,"Jan 26, 2005",18,Italy,-
360,Valentino Lazaro,Torino FC,Left Midfield,"Mar 24, 1996",27,Austria,€5.00m
361,Mërgim Vojvoda,Torino FC,Left Midfield,"Feb 1, 1995",28,Kosovo,€4.00m
362,Nikola Vlašić,Torino FC,Attacking Midfield,"Oct 4, 1997",25,Croatia,€17.00m
363,Aleksey Miranchuk,Torino FC,Attacking Midfield,"Oct 17, 1995",27,Russia,€12.00m
364,Nemanja Radonjic,Torino FC,Left Winger,"Feb 15, 1996",27,Serbia,€4.00m
365,Yann Karamoh,Torino FC,Left Winger,"Jul 8, 1998",24,France,€3.50m
366,Demba Seck,Torino FC,Right Winger,"Feb 10, 2001",22,Senegal,€2.70m
367,Simone Edera,Torino FC,Right Winger,"Jan 9, 1997",26,Italy,€300k
368,Antonio Sanabria,Torino FC,Centre-Forward,"Mar 4, 1996",27,Paraguay,€10.00m
369,Pietro Pellegri,Torino FC,Centre-Forward,"Mar 17, 2001",22,Italy,€3.50m
370,Luigi Caccavo,Torino FC,Centre-Forward,"Feb 3, 2004",19,Italy,€125k
371,Marco Silvestri,Udinese Calcio,Goalkeeper,"Mar 2, 1991",32,Italy,€5.00m
372,Daniele Padelli,Udinese Calcio,Goalkeeper,"Oct 25, 1985",37,Italy,€200k
373,Edoardo Piana,Udinese Calcio,Goalkeeper,"Sep 29, 2003",19,Italy,€50k
374,Nehuén Pérez,Udinese Calcio,Centre-Back,"Jun 24, 2000",23,Argentina,€10.00m
375,Jaka Bijol,Udinese Calcio,Centre-Back,"Feb 5, 1999",24,Slovenia,€10.00m
376,Rodrigo Becão,Udinese Calcio,Centre-Back,"Jan 19, 1996",27,Brazil,€10.00m
377,Enzo Ebosse,Udinese Calcio,Centre-Back,"Mar 11, 1999",24,Cameroon,€4.50m
378,Filip Benkovic,Udinese Calcio,Centre-Back,"Jul 13, 1997",25,Croatia,€2.20m
379,Bram Nuytinck,Udinese Calcio,Centre-Back,"May 4, 1990",33,Netherlands,€1.00m
380,James Abankwah,Udinese Calcio,Centre-Back,"Jan 16, 2004",19,Ireland,€300k
381,Axel Guessand,Udinese Calcio,Centre-Back,"Nov 6, 2004",18,France,€250k
382,Niccolò Cocetta,Udinese Calcio,Centre-Back,"Dec 19, 2003",19,Italy,€75k
383,Destiny Udogie,Udinese Calcio,Left-Back,"Nov 28, 2002",20,Italy,€25.00m
384,Adam Masina,Udinese Calcio,Left-Back,"Jan 2, 1994",29,Morocco,€2.50m
385,Leonardo Buta,Udinese Calcio,Left-Back,"Jun 5, 2002",21,Portugal,€1.50m
386,Marvin Zeegelaar,Udinese Calcio,Left-Back,"Aug 12, 1990",32,Netherlands,€400k
387,Brandon Soppy,Udinese Calcio,Right-Back,"Feb 21, 2002",21,France,€9.00m
388,Kingsley Ehizibue,Udinese Calcio,Right-Back,"May 25, 1995",28,Netherlands,€2.50m
389,Walace,Udinese Calcio,Defensive Midfield,"Apr 4, 1995",28,Brazil,€7.00m
390,Mato Jajalo,Udinese Calcio,Defensive Midfield,"May 25, 1988",35,Bosnia-Herzegovina,€250k
391,Riccardo Castagnaviz,Udinese Calcio,Defensive Midfield,"Jan 29, 2003",20,Italy,€50k
392,Lazar Samardžić,Udinese Calcio,Central Midfield,"Feb 24, 2002",21,Serbia,€14.00m
393,Jean-Victor Makengo,Udinese Calcio,Central Midfield,"Jun 12, 1998",25,France,€10.00m
394,Sandi Lovric,Udinese Calcio,Central Midfield,"Mar 28, 1998",25,Slovenia,€10.00m
395,Roberto Pereyra,Udinese Calcio,Central Midfield,"Jan 7, 1991",32,Argentina,€6.00m
396,Tolgay Arslan,Udinese Calcio,Central Midfield,"Aug 16, 1990",32,Germany,€1.40m
397,Martin Palumbo,Udinese Calcio,Central Midfield,"Mar 5, 2002",21,Norway,€700k
398,Matteo Bassi,Udinese Calcio,Central Midfield,"Jan 8, 2004",19,Italy,€10k
399,Festy Ebosele,Udinese Calcio,Right Midfield,"Aug 2, 2002",20,Ireland,€3.50m
400,Simone Pafundi,Udinese Calcio,Attacking Midfield,"Mar 14, 2006",17,Italy,€8.00m
401,Alberto Centis,Udinese Calcio,Attacking Midfield,"Feb 13, 2004",19,Italy,€75k
402,Florian Thauvin,Udinese Calcio,Right Winger,"Jan 26, 1993",30,France,€3.50m
403,Diego Russo,Udinese Calcio,Right Winger,"Apr 20, 2005",18,Italy,-
404,Beto,Udinese Calcio,Centre-Forward,"Jan 31, 1998",25,Portugal,€25.00m
405,Gerard Deulofeu,Udinese Calcio,Centre-Forward,"Mar 13, 1994",29,Spain,€10.00m
406,Isaac Success,Udinese Calcio,Centre-Forward,"Jan 7, 1996",27,Nigeria,€4.00m
407,Vivaldo Semedo,Udinese Calcio,Centre-Forward,"Jan 28, 2005",18,Portugal,€500k
408,Ilija Nestorovski,Udinese Calcio,Centre-Forward,"Mar 12, 1990",33,North Macedonia,€400k
409,Lukasz Skorupski,Bologna FC 1909,Goalkeeper,"May 5, 1991",32,Poland,€3.50m
410,Federico Ravaglia,Bologna FC 1909,Goalkeeper,"Nov 11, 1999",23,Italy,€450k
411,Francesco Bardi,Bologna FC 1909,Goalkeeper,"Jan 18, 1992",31,Italy,€400k
412,Nicola Bagnolini,Bologna FC 1909,Goalkeeper,"Mar 14, 2004",19,Italy,€200k
413,Francesco Raffaelli,Bologna FC 1909,Goalkeeper,"May 21, 2005",18,Italy,-
414,Jhon Lucumí,Bologna FC 1909,Centre-Back,"Jun 26, 1998",25,Colombia,€12.00m
415,Joaquín Sosa,Bologna FC 1909,Centre-Back,"Jan 10, 2002",21,Uruguay,€3.00m
416,Adama Soumaoro,Bologna FC 1909,Centre-Back,"Jun 18, 1992",31,France,€3.00m
417,Kevin Bonifazi,Bologna FC 1909,Centre-Back,"May 19, 1996",27,Italy,€2.80m
418,Gary Medel,Bologna FC 1909,Centre-Back,"Aug 3, 1987",35,Chile,€800k
419,Wisdom Amey,Bologna FC 1909,Centre-Back,"Aug 11, 2005",17,Italy,€700k
420,Matteo Angeli,Bologna FC 1909,Centre-Back,"Dec 30, 2002",20,Italy,€450k
421,Riccardo Stivanello,Bologna FC 1909,Centre-Back,"Apr 24, 2004",19,Italy,€250k
422,Mattia Motolese,Bologna FC 1909,Centre-Back,"Apr 13, 2004",19,Italy,€125k
423,Andrea Cambiaso,Bologna FC 1909,Left-Back,"Feb 20, 2000",23,Italy,€8.00m
424,Charalampos Lykogiannis,Bologna FC 1909,Left-Back,"Oct 22, 1993",29,Greece,€1.00m
425,Stefan Posch,Bologna FC 1909,Right-Back,"May 14, 1997",26,Austria,€14.00m
426,Denso Kasius,Bologna FC 1909,Right-Back,"Oct 6, 2002",20,Netherlands,€1.70m
427,Lorenzo De Silvestri,Bologna FC 1909,Right-Back,"May 23, 1988",35,Italy,€400k
428,Ibrahima Mbaye,Bologna FC 1909,Right-Back,"Nov 19, 1994",28,Senegal,€300k
429,Jerdy Schouten,Bologna FC 1909,Defensive Midfield,"Jan 12, 1997",26,Netherlands,€12.00m
430,Nikola Moro,Bologna FC 1909,Defensive Midfield,"Mar 12, 1998",25,Croatia,€6.50m
431,Nicolás Domínguez,Bologna FC 1909,Central Midfield,"Jun 28, 1998",25,Argentina,€17.00m
432,Michel Aebischer,Bologna FC 1909,Central Midfield,"Jan 6, 1997",26,Switzerland,€4.00m
433,Niklas Pyyhtiä,Bologna FC 1909,Central Midfield,"Sep 25, 2003",19,Finland,€600k
434,Kacper Urbanski,Bologna FC 1909,Central Midfield,"Sep 7, 2004",18,Poland,€600k
435,Kingsley Michael,Bologna FC 1909,Central Midfield,"Aug 26, 1999",23,Nigeria,€250k
436,Georgios Kyriakopoulos,Bologna FC 1909,Left Midfield,"Feb 5, 1996",27,Greece,€3.80m
437,Lewis Ferguson,Bologna FC 1909,Attacking Midfield,"Aug 24, 1999",23,Scotland,€12.00m
438,Roberto Soriano,Bologna FC 1909,Attacking Midfield,"Feb 8, 1991",32,Italy,€2.50m
439,Musa Barrow,Bologna FC 1909,Left Winger,"Nov 14, 1998",24,The Gambia,€11.00m
440,Nicola Sansone,Bologna FC 1909,Left Winger,"Sep 10, 1991",31,Italy,€1.50m
441,Riccardo Orsolini,Bologna FC 1909,Right Winger,"Jan 24, 1997",26,Italy,€12.00m
442,Emanuel Vignato,Bologna FC 1909,Right Winger,"Aug 24, 2000",22,Italy,€2.00m
443,Orji Okwonkwo,Bologna FC 1909,Right Winger,"Jan 19, 1998",25,Nigeria,-
444,Joshua Zirkzee,Bologna FC 1909,Centre-Forward,"May 22, 2001",22,Netherlands,€9.00m
445,Marko Arnautovic,Bologna FC 1909,Centre-Forward,"Apr 19, 1989",34,Austria,€5.00m
446,Antonio Raimondo,Bologna FC 1909,Centre-Forward,"Mar 18, 2004",19,Italy,€800k
447,Michele Di Gregorio,AC Monza,Goalkeeper,"Jul 27, 1997",25,Italy,€8.00m
448,Alessio Cragno,AC Monza,Goalkeeper,"Jun 28, 1994",29,Italy,€3.00m
449,Alessandro Sorrentino,AC Monza,Goalkeeper,"Apr 3, 2002",21,Italy,€500k
450,Eugenio Lamanna,AC Monza,Goalkeeper,"Aug 7, 1989",33,Italy,€100k
451,Marlon,AC Monza,Centre-Back,"Sep 7, 1995",27,Brazil,€6.00m
452,Pablo Marí,AC Monza,Centre-Back,"Aug 31, 1993",29,Spain,€5.00m
453,Andrea Carboni,AC Monza,Centre-Back,"Feb 4, 2001",22,Italy,€4.00m
454,Armando Izzo,AC Monza,Centre-Back,"Mar 2, 1992",31,Italy,€3.00m
455,Luca Caldirola,AC Monza,Centre-Back,"Feb 1, 1991",32,Italy,€1.50m
456,Valentin Antov,AC Monza,Centre-Back,"Nov 9, 2000",22,Bulgaria,€800k
457,Luca Marrone,AC Monza,Centre-Back,"Mar 28, 1990",33,Italy,€200k
458,Sheriff Kassama,AC Monza,Centre-Back,"Sep 16, 2004",18,Italy,€150k
459,Gabriel Paletta,AC Monza,Centre-Back,"Feb 15, 1986",37,Italy,-
460,Andrea Ranocchia,AC Monza,Centre-Back,"Feb 16, 1988",35,Italy,-
461,Franco Carboni,AC Monza,Left-Back,"Apr 4, 2003",20,Argentina,€1.00m
462,Samuele Birindelli,AC Monza,Right-Back,"Jul 19, 1999",23,Italy,€2.30m
463,Gabriele Ferrarini,AC Monza,Right-Back,"Apr 9, 2000",23,Italy,€550k
464,Giulio Donati,AC Monza,Right-Back,"Feb 5, 1990",33,Italy,€500k
465,Nicolò Rovella,AC Monza,Defensive Midfield,"Dec 4, 2001",21,Italy,€18.00m
466,Andrea Barberis,AC Monza,Defensive Midfield,"Dec 11, 1993",29,Italy,€800k
467,Antonis Siatounis,AC Monza,Defensive Midfield,"Aug 26, 2002",20,Greece,€75k
468,Leonardo Colombo,AC Monza,Defensive Midfield,"Jun 4, 2005",18,Italy,-
469,Matteo Pessina,AC Monza,Central Midfield,"Apr 21, 1997",26,Italy,€15.00m
470,Stefano Sensi,AC Monza,Central Midfield,"Aug 5, 1995",27,Italy,€8.00m
471,Filippo Ranocchia,AC Monza,Central Midfield,"May 14, 2001",22,Italy,€1.80m
472,José Machín,AC Monza,Central Midfield,"Aug 14, 1996",26,Equatorial Guinea,€1.50m
473,Mattia Valoti,AC Monza,Central Midfield,"Sep 6, 1993",29,Italy,€1.50m
474,Warren Bondo,AC Monza,Central Midfield,"Sep 15, 2003",19,France,€700k
475,Patrick Ciurria,AC Monza,Right Midfield,"Feb 9, 1995",28,Italy,€5.00m
476,Salvatore Molina,AC Monza,Right Midfield,"Jan 1, 1992",31,Italy,€650k
477,Carlos Augusto,AC Monza,Left Midfield,"Jan 7, 1999",24,Brazil,€15.00m
478,Andrea Colpani,AC Monza,Attacking Midfield,"May 11, 1999",24,Italy,€4.00m
479,Samuele Vignato,AC Monza,Attacking Midfield,"Feb 24, 2004",19,Italy,€600k
480,Andrea Ferraris,AC Monza,Left Winger,"Feb 22, 2003",20,Italy,€100k
481,Marco D'Alessandro,AC Monza,Right Winger,"Feb 17, 1991",32,Italy,€700k
482,Gianluca Caprari,AC Monza,Second Striker,"Jul 30, 1993",29,Italy,€8.00m
483,Andrea Petagna,AC Monza,Centre-Forward,"Jun 30, 1995",28,Italy,€10.00m
484,Dany Mota,AC Monza,Centre-Forward,"May 2, 1998",25,Portugal,€6.00m
485,Christian Gytkjaer,AC Monza,Centre-Forward,"May 6, 1990",33,Denmark,€800k
486,Mirko Maric,AC Monza,Centre-Forward,"May 16, 1995",28,Croatia,€800k
487,Leo dos Reis,AC Monza,Centre-Forward,"Jan 23, 2003",20,Spain,€75k
488,Guglielmo Vicario,FC Empoli,Goalkeeper,"Oct 7, 1996",26,Italy,€16.00m
489,Samuele Perisan,FC Empoli,Goalkeeper,"Aug 21, 1997",25,Italy,€800k
490,Jacopo Furlan,FC Empoli,Goalkeeper,"Feb 22, 1993",30,Italy,€200k
491,Lovro Stubljar,FC Empoli,Goalkeeper,"Aug 9, 2004",18,Slovenia,€200k
492,Samir Ujkani,FC Empoli,Goalkeeper,"Jul 5, 1988",34,Kosovo,€100k
493,Gian Marco Fantoni,FC Empoli,Goalkeeper,"Jan 24, 2004",19,Italy,€50k
494,Jacopo Seghetti,FC Empoli,Goalkeeper,"Feb 17, 2005",18,Italy,-
495,Koni De Winter,FC Empoli,Centre-Back,"Jun 12, 2002",21,Belgium,€4.00m
496,Ardian Ismajli,FC Empoli,Centre-Back,"Sep 30, 1996",26,Albania,€3.50m
497,Sebastian Walukiewicz,FC Empoli,Centre-Back,"Apr 5, 2000",23,Poland,€3.00m
498,Sebastiano Luperto,FC Empoli,Centre-Back,"Sep 6, 1996",26,Italy,€3.00m
499,Gabriele Guarino,FC Empoli,Centre-Back,"Apr 14, 2004",19,Italy,€800k
500,Lorenzo Tonelli,FC Empoli,Centre-Back,"Jan 17, 1990",33,Italy,€500k
501,Gabriele Indragoli,FC Empoli,Centre-Back,"Feb 20, 2004",19,Italy,€100k
502,Fabiano Parisi,FC Empoli,Left-Back,"Nov 9, 2000",22,Italy,€10.00m
503,Liberato Cacace,FC Empoli,Left-Back,"Sep 27, 2000",22,New Zealand,€2.00m
504,Samuele Angori,FC Empoli,Left-Back,"Oct 7, 2003",19,Italy,€200k
505,Tyronne Ebuehi,FC Empoli,Right-Back,"Dec 16, 1995",27,Nigeria,€2.50m
506,Petar Stojanović,FC Empoli,Right-Back,"Oct 7, 1995",27,Slovenia,€2.30m
507,Alberto Grassi,FC Empoli,Defensive Midfield,"Mar 7, 1995",28,Italy,€2.00m
508,Leo Stulac,FC Empoli,Defensive Midfield,"Sep 26, 1994",28,Slovenia,€1.00m
509,Duccio Degli Innocenti,FC Empoli,Defensive Midfield,"Apr 28, 2003",20,Italy,€500k
510,Răzvan Marin,FC Empoli,Central Midfield,"May 23, 1996",27,Romania,€8.00m
511,Jacopo Fazzini,FC Empoli,Central Midfield,"Mar 16, 2003",20,Italy,€3.50m
512,Filippo Bandinelli,FC Empoli,Central Midfield,"Mar 29, 1995",28,Italy,€3.50m
513,Liam Henderson,FC Empoli,Central Midfield,"Apr 25, 1996",27,Scotland,€2.50m
514,Nicolas Haas,FC Empoli,Central Midfield,"Jan 23, 1996",27,Switzerland,€2.00m
515,Jean-Daniel Akpa Akpro,FC Empoli,Central Midfield,"Oct 11, 1992",30,Cote d'Ivoire,€1.50m
516,Giovanni Crociata,FC Empoli,Central Midfield,"Aug 11, 1997",25,Italy,€750k
517,Lorenzo Ignacchiti,FC Empoli,Central Midfield,"Apr 25, 2004",19,Italy,€250k
518,Alessandro Renzi,FC Empoli,Central Midfield,"Jan 27, 2004",19,Italy,€175k
519,Tommaso Baldanzi,FC Empoli,Attacking Midfield,"Mar 23, 2003",20,Italy,€15.00m
520,Nedim Bajrami,FC Empoli,Attacking Midfield,"Feb 28, 1999",24,Albania,€7.50m
521,Nicolò Cambiaghi,FC Empoli,Left Winger,"Dec 28, 2000",22,Italy,€8.00m
522,Marko Pjaca,FC Empoli,Left Winger,"May 6, 1995",28,Croatia,€1.70m
523,Emanuel Vignato,FC Empoli,Right Winger,"Aug 24, 2000",22,Italy,€2.00m
524,Davide Merola,FC Empoli,Right Winger,"Mar 27, 2000",23,Italy,€400k
525,Martín Satriano,FC Empoli,Centre-Forward,"Feb 20, 2001",22,Uruguay,€7.00m
526,Roberto Piccoli,FC Empoli,Centre-Forward,"Jan 27, 2001",22,Italy,€3.50m
527,Sam Lammers,FC Empoli,Centre-Forward,"Apr 30, 1997",26,Netherlands,€2.00m
528,Francesco Caputo,FC Empoli,Centre-Forward,"Aug 6, 1987",35,Italy,€1.50m
529,Mattia Destro,FC Empoli,Centre-Forward,"Mar 20, 1991",32,Italy,€1.30m
530,Herculano Nabian,FC Empoli,Centre-Forward,"Jan 25, 2004",19,Portugal,€450k
531,Emmanuel Ekong,FC Empoli,Centre-Forward,"Jun 25, 2002",21,Sweden,€250k
532,Lorenzo Montipò,Hellas Verona,Goalkeeper,"Feb 20, 1996",27,Italy,€4.00m
533,Simone Perilli,Hellas Verona,Goalkeeper,"Jan 7, 1995",28,Italy,€200k
534,Mattia Chiesa,Hellas Verona,Goalkeeper,"Jul 16, 2000",22,Italy,€100k
535,Alessandro Berardi,Hellas Verona,Goalkeeper,"Jan 16, 1991",32,Italy,€50k
536,Giacomo Toniolo,Hellas Verona,Goalkeeper,"Apr 1, 2004",19,Italy,€10k
537,Manuel Ravasio,Hellas Verona,Goalkeeper,"Jul 7, 2005",17,Italy,-
538,Isak Hien,Hellas Verona,Centre-Back,"Jan 13, 1999",24,Sweden,€6.00m
539,Diego Coppola,Hellas Verona,Centre-Back,"Dec 28, 2003",19,Italy,€4.00m
540,Koray Günter,Hellas Verona,Centre-Back,"Aug 16, 1994",28,Germany,€3.50m
541,Giangiacomo Magnani,Hellas Verona,Centre-Back,"Oct 4, 1995",27,Italy,€3.00m
542,Paweł Dawidowicz,Hellas Verona,Centre-Back,"May 20, 1995",28,Poland,€3.00m
543,Bruno Amione,Hellas Verona,Centre-Back,"Jan 3, 2002",21,Argentina,€2.70m
544,Panagiotis Retsos,Hellas Verona,Centre-Back,"Aug 9, 1998",24,Greece,€2.00m
545,Federico Ceccherini,Hellas Verona,Centre-Back,"May 11, 1992",31,Italy,€1.50m
546,Josh Doig,Hellas Verona,Left-Back,"May 18, 2002",21,Scotland,€8.00m
547,Juan Cabal,Hellas Verona,Left-Back,"Jan 8, 2001",22,Colombia,€2.50m
548,Davide Faraoni,Hellas Verona,Right-Back,"Oct 25, 1991",31,Italy,€3.00m
549,Fabio Depaoli,Hellas Verona,Right-Back,"Apr 24, 1997",26,Italy,€3.00m
550,Filippo Terracciano,Hellas Verona,Right-Back,"Feb 8, 2003",20,Italy,€1.50m
551,Deyovaisio Zeefuik,Hellas Verona,Right-Back,"Mar 11, 1998",25,Netherlands,€1.20m
552,Adrien Tamèze,Hellas Verona,Defensive Midfield,"Feb 4, 1994",29,Cameroon,€6.00m
553,Oliver Abildgaard,Hellas Verona,Defensive Midfield,"Jun 10, 1996",27,Denmark,€4.50m
554,Martin Hongla,Hellas Verona,Defensive Midfield,"Mar 16, 1998",25,Cameroon,€3.00m
555,Ibrahim Sulemana,Hellas Verona,Defensive Midfield,"May 22, 2003",20,Ghana,€1.50m
556,Miguel Veloso,Hellas Verona,Defensive Midfield,"May 11, 1986",37,Portugal,€500k
557,Joselito,Hellas Verona,Defensive Midfield,"Feb 9, 2004",19,Spain,€75k
558,Ivan Ilić,Hellas Verona,Central Midfield,"Mar 17, 2001",22,Serbia,€19.00m
559,Ondrej Duda,Hellas Verona,Central Midfield,"Dec 5, 1994",28,Slovakia,€3.40m
560,Darko Lazović,Hellas Verona,Left Midfield,"Sep 15, 1990",32,Serbia,€2.50m
561,Antonín Barák,Hellas Verona,Attacking Midfield,"Dec 3, 1994",28,Czech Republic,€10.00m
562,Simone Verdi,Hellas Verona,Attacking Midfield,"Jul 12, 1992",30,Italy,€4.00m
563,Ajdin Hrustić,Hellas Verona,Attacking Midfield,"Jul 5, 1996",26,Australia,€1.50m
564,Mateusz Praszelik,Hellas Verona,Attacking Midfield,"Sep 26, 2000",22,Poland,€900k
565,Alessandro Cortinovis,Hellas Verona,Attacking Midfield,"Jan 25, 2001",22,Italy,€700k
566,Alphadjo Cissè,Hellas Verona,Attacking Midfield,"Oct 22, 2006",16,Italy,-
