,사용자명,평점,작성일,작성내용
47,se hoon oh,1,2023년 1월 2일,최근에 배민 혹은 갤럭시쪽 업데이트에서 문제가 있는것 같습니다. 밑에 다른 리뷰들 보니 저와 비슷한 현상을 겪고 계신분들이 있네요. *갤노트10+사용중 *로그인시 '일시적으로 연결이 불안정합니다' 라는 메시지 출력후 로그인 불능 *어플작동시 인트로 화면에서 넘어가지 않음. (무한로딩) *가게터치 혹은 장바구니의메뉴 주문버튼 터치시 로그인때와 동일한 문제 발생 *설치 삭제 후 재설치에도 동일한 문제 반복 *태블릿(갤탭7)으로 테스트시 정상작동함. 원인이 뭔지 모르겠는데 최근 한 일주일? 동안 계속 이러네요.
48,Google 사용자,4,2019년 7월 8일,"배달앱 1등답게 정말 많은 매장과 보기편한 분류등으로 자주애용하고있습니다. 근데 사용하다보니 1가지 기능이 추가되었으면 하는데 어렵지 않을까 생각되는데, 가게 매장 이름 검색도 좋지만 메뉴이름으로 검색도 가능하면 좋을 거 같습니다. 며칠전 어떤 음식이 떠올라 먹고싶었는데 메뉴이름은 생각나는데 매장이름이 생각나지 않아 찾다 포기한 경험이 있거든요."
49,Google 사용자,3,2019년 1월 12일,"정말 잘 쓰고있는데요, 결제 페이지에서 결제 실패하고 돌아오면 쿠폰 사용 설정이 초기화되면서 못쓰는 경우가 자주 있습니다. 결제 실패해도 해당 화면에 요청사항이랑 쿠폰 설정한 내역은 남아있으면 좋겠습니다. 처음부터 안쓸 생각으로 주문하면 모르겠는데 쓰려고 생각하다가 그런식으로 못쓰게되면 매우 기분이 나쁩니다"
50,Google 사용자,2,2019년 6월 28일,어플의 구성이 좀~~ 그렇네요!! 메뉴의 전체사진이 있으면 좋겠는데.. 전단지 처럼!! 리뷰와 사진을 찾아보고서 주문을 하게 되네요.. 또한 주문 고객의 리뷰 작성시 자동으로.. 주문한 메뉴가 표시 되었으면 합니다.. 그래야 어떤 메뉴 사진인지 알아보기 쉽고 참고가 될 것 같네요~~
51,hm Urban,2,2020년 9월 12일,"포장 선택시 기존 지도상에서 보이던 가게들이 목록으로만 볼수 있게 봐뀐점은 너무 불편합니다. 포장 주문 특성상 내가 주문한 위치에서 가게가 얼마나 멀리 있는지, 어떤식으로 가야 하는지 지도상에 직접 눈으로 보고 결정하는 점도 있는건데 이건 일일이 목록상에서 가게를 보고 찍어서 지도로 가는길을 찾아 봐야 하는데 기존 지도와 목록 두가지 다 볼수 있던 것과 너무 불편하네요 두가지다 선택이 될수 있으면 좋겠습니다."
52,Google 사용자,4,2019년 2월 16일,배달 앱 중에서 제일 편하고 정직하게 운영되는 것 같아 자주 시켜먹습니다. 근데 한 가지 아쉬운 점이 있다면 리뷰를 달지 않은 채로 모바일작업을 하고 있으면 배너가 작업창을 가려버립니다.. 이런 식으로 앱이 광고를 싸지르면 제 입장에서는 작업에 지장이 갈 수 밖에 없고요.. 애초에 리뷰는 사장님께 개선점이나 좋았던 점을 기재하는 건데 항상 그런 것들이 생겨날 수는 없는 것입니다.. 그렇기 때문에 리뷰요청 메시지를 화면을 점유하는 메시지가 아닌 카톡이나 휴대폰 메시지와 같은 상단 알림으로 변경해주었으면 합니다.. 앱이 화면을 점유해버려서 작업이 멈추면 가끔 빡치거든요
53,Google 사용자,3,2019년 2월 5일,"몇년 전에는 다른 배달 앱 쓰다가 배달의민족만 계속쓰고 있는데요, 아쉬운 점이 있습니다 찜한가게가 딱 30개만 보이는 거요ㅜ 그렇다고 그 전에 했던 찜한가게가 없어지지는 않더라구요 찜한가게는 다 보여졌으면 좋겠습니다 또 리뷰를 보고 메뉴를 주문하려고 하는데 그 메뉴가 뭔지 몰라 주문을 망설였던 적이 몇 번 있어요 이건 아마 다른 앱에는 있는 기능일텐데 리뷰에 주문한 메뉴들도 자동으로 같이 뜨는 기능도 있었음 정말 좋겠어요! 배달의민족 정말 잘 쓰고 있습니당💕💕"
54,스카즈,1,2023년 6월 24일,같은 브랜드인데 기본 나열이 왜 먼곳부터 나오는지 이해가 안되네요. 당연히 거리순이 가장 기본이 되야하는거 아닌가요? 아니면 설정 저장이라도 되게 해줘요. 나열순을 변경해도 매번 리셋되니 일일히 확인 못하고 급하게 배달시키다 똑같은 매뉴인데 다른 동네 가게에서 주문하는 바람에 추가배달비 계산한게 몇번째인지 모르겠네요. 일부러 이렇게 앱 개발 한겁니까? 사용자 리스트 설정 저장 기능 좀 추가해줘요.
55,김지우,3,2021년 10월 1일,"배달팁 낮은 순으로 정렬을 했을 때 대부분의 가게가 배달팁 0원부터 시작합니다. 하지만 막상 배달팁 정보를 보면 4~5만원 이상을 시켜야만 배달팁이 0원이고 실질적으로 3~6천원까지도 지불해야하는 가게가 많습니다. 이 자체로는 불만이 없으나 이런 가게들이 '배달팁 낮은 순'위 정렬에서 최상단으로 올라오는 것이 문제입니다. 실질적으로 배달팁이 낮은 가게들 (0원~1500원)은 썸네일 상으로는 찾기가 어려워 아래로 계속 스크롤을 해야만 찾을 수 있습니다. 높은 주문 가격에 배달팁 0원을 책정하는 것이 요새 가게들이 상단에 노출될 수 있는 편법인 것 같은데 이로 인해 소비자도 불편하고 실제로 낮은 배달팁을 제공하는 판매자도 매우 손해를 보는 시스템입니다. 가게의 평균 배달팁을 보여주든지, '0원~'으로만 표기하지말고 최대 배달팁까지도 표기가 되는 방향으로 앱 수정이 되었으면 합니다."
56,Google 사용자,5,2019년 12월 3일,"잘 사용하고 있어요. 한가지 제안드릴게 있어서요. 음식점들 중에 배달비를 받는데가 있고 안받는데가 있는데요. 배달비를 안받는 음식점을 옵션으로 선택해서 분류할 수 있으면 좋겠어요. 지금 뜨는 창에 배달비 유무를 눈에 띠게 표시하면 업주들이 난리치겠죠? 그래서, 옆에 옵션으로 분류하는거 있잖아요? 주문 많이 한 순, 가까운 순 이런거요. 여기에 배달비 낮은 순 이런 옵션이 추가됬으면 좋겠어요."
57,Google 사용자,2,2019년 1월 23일,지도앱이나 다른 주문어플에서는 위치서비스가 정상적으로 작동되는데 이 어플만 제 핸드폰에서 위치 서비스를 이용할 수가 없네요 혹시나 싶어서 지웟다가 다시 깔아봣더니 아예 검색자체도 안되서 사용을 할 수가 없네요 처음엔 위치서비스 잘 되다가 갑자기 왜 이런거죠 참고로 사용 기종은 s7엣지 입니다
58,Google 사용자,2,2019년 6월 3일,단순 배달앱인줄 알았는데 도대체 무슨 개인정보를 캐가시려고 수상쩍게 캐시메모리 쳐먹으면서 백그라운드로 돌아가죠? 주기적으로 캐시메모리 정리를 하는데 이거는 죽여도 계속 재기동 되더군요. 프로그램 느리게 시작해도 좋으니까 개인정보 강탈 의심 안받으시려면 앱 비작동시 백그라운드에서 캐시메모리 먹는거 가능한한 빨리 수정 부탁드립니다.
59,이숲길따라,1,2023년 1월 1일,"비회원으로 주문하고 kb pay로 결제해서 ""결제가 완료되었습니다"" 라고 됐는데 (처음이라 잘 몰라서 2번 반복해서 결제) 확인차 매장에 전화하니 결제가 안됐다고, 배민에 전화를 하니 결제가 안됐다고... kb, 배민 어느쪽 실수인지... 결제를 현장 결제를 하면 아주 아주 편할텐데 왜 이렇게 복잡하고 짜증나는 결제 과정을 거치는지... 외국 호텔 예약 결제보다 복잡하네요."
60,허유림,4,2022년 12월 18일,"어플을 편리하게 잘 쓰고 있습니다. 다만 검색시, 오류가 있습니다. 홈화면에서 처음 검색시에는 문제가 없지만 검색 후 창을 뒤로가기 하지않고 재 검색시 입력에 오류가 있습니다. 예를 들어, ㄱ을 한 번 입력하면 ㄱㄱ으로 두번 입력이 되고, ㅜ를 입력하면 ㄱ으로 입력이 됩니다. 이때 홈화면으로 돌아가면 문제가 없어집니다."
61,임호식,1,2021년 7월 15일,"쿠팡이츠가 노골적으로 라이더가 동시에 다건 배달하는 모습을 광고로까지 만들면서, 비판하는데 개선사항이 진행되는 모습이 없음. 배달 시스템을 개선할수는 없어도 사용자와 가게 주인 입장에서 주문상태에서 픽업현황 정돈 알수 있어야하지만, 이 픽업상태 변화를 라이더가 배달시작 버튼 누름으로 바꾸고 있음. 이러면 배달 늦어지면 가게만 민원 전화 들어오고, 사용자는 사용자대로 짜증나는 형태로 될거 같음. 해당 기능 관련해서 개선이 필요해 보입니다."
62,이로움,1,2021년 6월 15일,첫화면 바뀐거 너무 불편하고 별로예요 웹디자인 진짜 지저분해요 쇼핑라이브? 중요도가 떨어지는걸 첫화면에두고 막상 중요한 주문하는걸 버튼으로 들어가게 하는건 무슨일이죠? 다른 배달앱으로 갈아타고 싶을정도 검색하는것도 검색을 한번 누르고 또 눌러야지 검색이 되는건 뭐죠...? 왜 이런 쓸데없는 기능을 추가하신거죠?
63,Genuine,3,2022년 11월 20일,"한창 장바구니에 메뉴 고르던중에 영업시간이 종료되는 경우도 있어 아쉬워요. 영업 마감시간이 임박했으면 그런 점이 강조돼서 보여졌으면 좋겠어요. 현재는 가게정보에 굳이 들어가서 봐야지만 그 게 확인되는데, 다 고르고나서 장바구니에 들어가서 주문넣으려고 할때 그제서야 영업시간이 아니라고 뜨니까 불편했던 적이 한두 번이 아니에요 - 그리고 배달앱으로만 영업하는 식당들이 위생 면에서 미디어에서 이슈가 여러 번 되던데, 그만큼 위생 면에서 믿고 먹을수있는 식당인지를 세스코멤버스 말고도 조리과정에 대한 위생 면이 검증되는 필터링도 있었으면 좋겠어요 msg가 얼마나 들어가는지, 전 재료가 어떤지 같은부분도 투명하게 알수있게되면 더 좋고요 - 그리고 주문했던 식당에서 리뷰 볼때 주문자본인이 남겼던 리뷰를 다시 쉽게 골라볼수있게 개선되면 좋겠네요 어떤메뉴에 어떤맛조절에 어떤옵션으로 주문했었는지 등을 다시볼수 있 - 위와 같은 면들이 개선된다면, 등록된 식당수가 많기때문에 편리하게 잘 이용할수 있"
64,B aah,4,2022년 6월 2일,"1. 메뉴 선택란에서 해당 메뉴를 주문한 사람의 리뷰를 볼 수 있는 기능이 있었으면 좋겠습니다. 주문하기 전 특정 메뉴에 대한 리뷰를 보고 싶은데 직접 리뷰란을 스크롤하면서 찾기 너무 번거롭고 불편합니다. 다른 배달앱인 요*요에는 예전부터 있었던 굉장히 유용한 기능인데 배민에도 생겼으면 좋겠습니다. 2. 배달팁 낮은순 정렬 시스템이 개선되었으면 좋겠습니다. 배달팁이 저렴한 곳을 찾고 싶어서 그 기능을 사용하는건데 배달팁이 500~1000원인 가게보다 0~5000원인 가게가 더 먼저 뜹니다. 근데 5만원 이상 주문시 0원, 그 이하는 5000원 이러는 가게가 너무 많다보니 짜증이 안 날 수가 없습니다… 그냥 단순히 최소 배달팁 순으로 정렬되는 것이 아니라 직접 원하는 배달팁의 범위를 설정하는 식으로 개선되면 좋을 것 같습니다."
65,조서윤,1,2023년 2월 19일,"검색 화면에서 전체/배달/포장 탭 중 배달 탭을 스크롤 내리면서 볼 때, 아래로 스크롤하는데 자꾸만 왼쪽 오른쪽으로 넘어가서 전체 탭이나 포장 탭을 보게 되는데 정말 불편합니다. 검색 후 배달 탭, 포장 탭, B마트 탭 뭐든 하나를 선택했으면 좌우로 넘기는 건 안 되게 하시면 안되나요? 가끔 그러는 것도 아니고 스크롤 한 번 내릴 때마다 왼쪽으로 넘어가서 전체 탭에 가게 되니까 너무 불편하고 답답해서 씁니다"
66,SJ A,1,2020년 8월 17일,메뉴설명이 다짤려서 나옵니다 시키는대로 고객센터에 문의해봤지만 와이파이 때문인것같다는 이상한 답변만 돌아오고 해결의지가 없네요. 와이파이 하에서는 작동하지 않는 오류앱이라는걸 인정하는것과 같은 말 아닙니까? 설사 데이터환경문제라 해도 통신 에러처리를 제대로 하는게 맞지 저런답변은 정말 아닙니다
67,Google 사용자,4,2019년 8월 11일,"정말 잘 쓰고 있는 앱입니다. 단지 아쉬운 점이라면 메뉴 선택후 결제창 이전 화면에서 메뉴별로 세부 추가사항을 수정할 수 있는 기능이 추가 되었으면 합니다. 즉, 예를 들어 베스킨라빈스에서 파인트( 3가지 맛)을 a b c로 시킨 뒤 결제하기를 누르기 이전 화면에서 파인트를 누르면 a b d로 수정할 수 있었으면 좋겠습니다 다시 메뉴를 삭제하고 세부사항을 누른 것이 번거롭게 느껴집니다. 꼭 반영되었으면 좋겠습니다! 감사합니다."
68,이다정,5,2021년 9월 10일,배민 없으면 못사는 1인입니다. 너무 잘쓰고있는데 건의를 몇가지 드리고 싶습니다. 1. 주문내역 검색기능 추가 : 예전에 주문했던 가게나 메뉴가 기억이 안나서 찾아보려면 참 힘드네요. 배민에서 워낙 많이 시켜먹어서 한참 스크롤 내려야 되거든요ㅠㅠ저같은 충성고객들 위해 제발 추가해주세요... 2. 특정 메뉴 선택하여 리뷰보기 기능 : 요즘 리뷰에 다른 고객이 무슨 메뉴를 먹었는지 볼수있어 참 좋습니다! 그런데 원하는 메뉴를 선택하면 해당 리뷰만 볼 수 있는 기능이 생기면 더 편할 것 같아요!
69,Google 사용자,3,2018년 11월 7일,이번에 인터페이스 업데이트 되면서 보기가 좀 불편해졌어요. 메뉴들이 다 너무 커서 한눈에 안들어오고 레이아웃이 좀 싸구려 전단지 같은 느낌이 드네요. 이전 레이아웃에 너무 익숙해져서 그런걸수도 있지만 예전 디자인이 더 배민스럽고 고급진 느낌이에요.
70,Google 사용자,1,2019년 8월 11일,. 옛날에도 주문보낸지 2시간뒤에야 주문취소답장이 오는게 마음에 안들었는데 이번에는 어플자체 오류가있네요 ^^ 내가 내 돈주고 피자 시키겠다는데 왜 결제 창으로 들어가지지 않을까요?? ^^ 하얀화면만 뜨고 점심때 일어나서 배고픈데 화나네요! 아 참고로 네트워크 연결이 안됐다고 말같지도않은 알림이 뜨길래 데이터로도 바꿔보고! 휴대폰 다시시작도 해보고! 와이파이 재부팅도 해보고! 혹시 업데이트가 안됬는지 확인까지 했는데! ^^ ^^ ^^
71,Heejin Lee,2,2021년 8월 31일,"요즘 배달팁을 ""0원~""으로 보이게 설정해놓는 가게들이 너무 많습니다. 실제로 주문해보면 2천원에서 3천원 배달료가 더 붙고요. 그리고 0원~으로 설정된 가게들이 ""배달팁 낮은 순"" 정렬에서 상단에 노출되게 되어 있어 배달팁 낮은 순 정렬이 의미가 없는 것 같습니다. 배달팁을 0원은 아니지만 낮게 받는 가게들이 피해를 보는 것 같습니다. 소비자인 저도 너무 불편하네요."
72,Google 사용자,2,2020년 3월 17일,"다른 사용자분들처럼 리뷰작성시 사진이 안뜹니다. 사진 장수는 정확히 나오는데 사진이 안떠요. 핸드폰 자체 갤러리 사용중이고 클라우드나 드라이브는 사용하지 않고 있습니다. 설정 권한도 확인했고 앱 지우고도 다시 깔았습니다. 그래도 안됩니다. + 닉네임때문에 사진등록이 안된다구요??? 제 닉네임은 저기에 적으신 것 중에 해당되는 것 하나도 없습니다. 한글이고 특수문자, 공백없고 자음이나 모음만 입력되지도 않았습니다. 앱 자체 문제아닌가요.."
73,박시은,1,2021년 6월 18일,너무 불편해졌어요 UI가 너무 난잡하구요 특히 옆으로 넘겨지는 부분에서 상단 이벤트배너를 슬라이드 하면 배달탭에서 포장탭으로 넘어간다던지 여러부분에서 불편한점이 많아졌네요 변경된 부분이 낯설어 적응할 부분도 있지만 많은 부분은 업데이트되면서 사용자의 편리함을 고려하지 않은 것 같습니다. 또 이전보다 앱이 무거워졌는지 많이 버벅되네요. 과유불급이라고 배고픈자들이 배달을 쉽게하려고 사용하는 앱이니만큼 간결하게 만들어 원래 목적을 잊지 않았으면 좋겠습니다.
74,H D,5,2022년 10월 10일,"혹시 [주문내역]에서 검색하기 기능을 넣어주실 수 있으시다면 꼭 부탁드립니다. 그때 그 집!! 하면서 찾고 싶은데 스크롤을 아무리 내려도 오래전에 먹었던 건 찾기 힘들고, 개선이 된다면 정말 편리할 것 같아서 남겨봅니다. 그리고 함께 주문하기 기능 신기합니다. 유용하게 사용할 것 같아요. 늘 편리한 앱을 위해 업데이트 해주셔서 감사합니다."
75,A B,1,2022년 1월 20일,1. 같은 식당이 몇 건씩 올리는 것 2. 한 상호명이 식당 이름만 바꿔서 여러개 올리는 것 이 두가지 문제점 때문에 가뜩이나 보기 불편한 식당 목록이 그 숫자가 몇 배는 더 많아져서 더더욱 보기 불편함 개선 방안 1. 최신등록순으로 보기 기능이 무조건 필요함 2. 무조건 한 상호명 당 한 건씩만 등록할수 있게 바꿔야함 사용자를 위해서도 신규등록 업체를 위해서도 위 두 사항은 아직까지 실현되지 않은 것이 이상할만큼 선택이 아닌 필수사항임
76,IRES SERI__,3,2021년 12월 11일,"업데이트 후 배민 앱 지움. 이름이 배달의 민족인데 무슨 쇼핑라이브에 b마트에 요상한걸 많이도 만드셨네요. 배달만이라도 꾸준히 잘하려고 노력했으면 정-말 좋았을텐데 초심으로 돌아온다면 그때 다시 사용 할 예정. 이만 요기요로 가겠습니다. (시각적으로도 불편, 시간적으로도 불편함. 업데이트하신 개발자는 사용자가 편리하게 사용가능한 어플 개발에 더 노력해보시길 바랍니다.)"
77,Google 사용자,1,2019년 8월 11일,"다음부턴 앱에 문제가 있으면 !팝업공지!로 알려주시기 바랍니다. 고객이 주문전에 맨날 공지사항 확인하는것도 아니고, 평소처럼 주문결제 되는데 앱에 문제가 있는지 어떻게 압니까. 주문하고 주문내역 없어서 이상하다는걸 알았네요. 그리고 문제해결전까지 주문 다 막으셔야되는거 아닌가요? 어차피 앱주문결제해도 주문 안들어가는데 왜 결제는 되게 해두신건지.. 주문막는기능은 업주만 설정권한있나요? 아니면 돈 묶어두시는건가요? 저번이벤땐 문제없었던거같은데 이번엔 왜이러는지.."
78,이정현,2,2021년 6월 14일,바뀐 인터페이스 너무 구려요. 할인이벤트도 잘 안보이고 찜 목록 들어가는 것도 몇 번이나 눌러서 들어가야 하고. 담아놓고 잠깐 다른 거 하면 그거 보려고 몇 번 클릭 거쳐야 하고. 익숙하지 않아서라기엔 그냥 너무 불편한데요.. 직관적이지도 않아서 더 헤매는 것 같아요. 이렇게 바뀔 거면 더 직관적이어야 하지 않았을까 싶어요. 구립니다. 배민에서 하는 옛날 번쩍배달 쿠폰이나 그런 건 끝난 건가요 아니면 그런 거 찾기 힘들게 하려고 밑으로 내려버린 건가요..? 전체적으로 정보 전달력도 떨어지고 사용감도 떨어져요. 왜 이렇게 바뀐 거죠..? 쓰다 보면 편해지려니 생각해 봐도 현재로선 그냥 구리고 불편하다는 생각만 듭니다.
79,Google 사용자,1,2019년 8월 16일,어플 사용자 편의성 업데이트 좀 하세요. 홈화면 하단에 검색 시스템 구색 맞추기 용이지 정말 쓰레기 같습니다. 타사 어플은 검색시 상점 내 메뉴까지 검색해줘요. 아니 그정도는 바라지도 않아 그냥 내가 입력한 키워드에 맞게 검색 결과를 좀 보여달라고요. 그게 어렵나. 그리고 리뷰에서 뭘 시켰는지 메뉴 좀 알 수 있게 보여줘봐요. 이걸 왜 안하는지 모르겠네. 메뉴를 뭘 시켰는지 알아야지 참고를 하지. 뭐 사진보고 땡입니까. 또 배달 예상시간도 도입하고요. 업계 1위라고 배짱장사하는 것도 아니고 이상한 배민 캐릭터 문방구 굿즈같은거 팔지 말고 어플 편의성 좀 고치세요. 메뉴 카테고리도 좀 다양하게 하고요. 진짜 vip이지만 어플 너무 쓰레기같네요.
