,이름,평점,작성일,내용
173,Mirae Lee,5/5,2023년 8월 30일,"제가 너무 많은 기능을 바라는 것 같지만.. 발음강세와 어디서 끊어 말하고, 어떤 덩어리로 연결시켜서 말해야 하는지, 어떤 악센트가 올바른건지, 발음기호와 함께 훈련시켜주는 기능도 있으면 좋겠어요. 회화 어플인데 제일 중요한 스피킹뉘앙스 훈련이 빠져있달까요.. 그래도 너무 잘쓰고 있습니다. 새로운 컨텐츠를 업데이트 하실 계획이라면 계속 구독하고 싶을 정도로요!"
174,장석빈,4/5,2020년 8월 3일,직접 말하게 하고 연습하는건 좋네요 ㅎㅎ 다만... 음성인식이 잘 오류가 나네요 ㅜ 그것만 개선되면 좋을듯 합니다. 추가적으로 유튜브 프리미엄 기능처럼 와이파이 접속시 강의를 미리 다운로드 받아 재생할 수 있게 해주는건... 어려울려나요 ㅜㅜ 데이터 제한 걸려 있어서 자꾸 버퍼링이 걸려요...;;
175,정혁,3/5,2023년 9월 22일,"음성인식이 이게 맞나 싶음. ""말하세요"" 나왔을 때 대답하면 인식 안 될 때가 잦음. 두 번씩 말해야 함. 그리고 단어를 대충 말해도 퍼펙트로 인식 함. 예로 올거나이징을 올거나뎁뎁뎁 이렇게 해도 퍼펙트로 인식 함...ㅡㅡ;;; 1년 결제 살짝 후회 중인데 단어라도 배운다 생각해야죠. 그리고 수업 속도가 느림 다음으로 넘기기 특정 위치 클릭해야지만 다음 챕터로 가는데 아무 곳이나 클릭해도 넘어가게끔 했으면 좋겠음"
176,권예림,5/5,2023년 8월 22일,"앱 리뷰처음 써봅니다 !! 한달정도했는데 말하기가 느는게 신기해서 리뷰쓰러왔어요! 이상하게 꾸준히 하니까 말하기가 느는게 느껴집니다. 특히 배우는 단계중에 AI랑 하는게 있는데, 생각하는대로 나올때 신기해요 모든지 꾸준히 하면 되네요!! 근데 가끔 음성인식이 안되는 문제가 있습니다 ㅠ 이것만 해결되면 좋을거같아요"
177,Moon Mijung,3/5,2023년 8월 17일,"사용자입니다. 강의는 속도조절이 있는데 스피킹연습, 실전대화는 속도조절이 없어서 불편합니다. 스피킹연습의 속도는 솔직히 너무 느린것 같애요. 원어민속도 까지는 아니어도 적당한 속도로 반복연습 하는게 더 나은것 같습니다. 특히 중급자이상이라면 느린속도가 너무 지루합니다. 참고 좀 해주세요!"
178,mugbrud,4/5,2021년 12월 12일,무료체험 중인데 수업도 쉽고 재밌구요. UI도 깔끔하고 간단해서 어렵지 않게 조작할 수 있습니다. 다만 다른 회화공부어플과 차별화되는 점 중 하나인 AI 음성인식 기능이 기대보다는 수준에 못미치는 것 같아요. 예를 들어서 일부러 틀리게 말했지만 she를 he 발음으로 you를 uo같이 뭉뚱그러서 발음해도 그냥 통과됩니다. 말하게 만드는 데에 의의가 있겠지만 그래도 인식률을 향상시키면 사람들이 좀 더 재미를 느끼고 또박또박 말하는 연습을 할 수 있을 것 같습니다.
179,윤주영,5/5,2021년 1월 19일,"수업 길이도 적당하고, 반복적으로 말하게 해서 구문을 익히는데 도움이 됩니다. 무엇보다도 부담없이 연습할 수 있다는 게 좋네요. 어플이 제 발음이 정확한지 아닌지 인식할 수 있다는 것도 신기하네요. 몇몇분들은 안드로이드에서 발음인식이 잘 안된다고 말씀 주셨는데 저는 기대가 없는 상태에서 시작해서 그런가, 이 정도로도 나쁘진 않다고 생각합니다. 물론 기능이 향상되면 더 좋죠. 어플 자체도 시각적으로 깔끔합니다."
180,최윤경,1/5,2022년 1월 25일,"영어회화 공부한다고 어플 이것저것 깔아봤는데 스픽이 제일 직관적이고 깔끔하게 되어있어요! 특히 상황별 스피킹연습을 해볼 수 있다는 점이 제일 마음에들어요 ㅎㅎ 특정표현이 영어로는 이렇게 쓰이는구나 하면서 배워가는 재미도있구요 ㅎㅎ 추천합니다~ ----------------------- 스픽어플 사용한지 꽤 됐고, 초반엔 매우 만족스러웠는데 몇달 전부터 음석인식이 진짜 너무너무 안돼요. 이것때문에 영어 스피킹하다 계속 짜증나네요. 발음이 안좋은것도 아닌데.. 예전에 비해 음성인식률 너무너무너무 떨어집니다. 계속 이런식이면 구독 취소하려구요. 방금도 스피킹하다 화딱지나서 씁니다.."
181,Google 사용자,5/5,2019년 4월 21일,"안녕하세요. 신선한 방식과 유용한 알고리즘에 놀랐습니다. 아이패드에서는 일부러 틀리게 발음하니 인식을 못하더군요. 그리고 순간 단어가 빠지는것이 암기, 임기응변, 집중에 굉장히 좋은 것 같습니다. 두가지 질문이 있습니다. 1. 연간정액후 6개월쯤? 해지 및 부분환불이 가능할까요? 2. 프리미엄이면 계속해서 수준을 변경하면서 리셋하고 반복학습 할 수 있는건가요? 예를 들면 초급하다가 안맞아서 고급올려서 하다가 다시 중급 처음부터 혹은 초급 처음부터"
182,피자만두,3/5,2021년 3월 12일,"우선 대부분이 유료컨텐츠이고 미결제자는 미리보기를 통해 수업을 할 수 있습니다. 좋은 점은 수업은 유료지만 할당량이 크게 정해지지 않은 것 같고 가능한 선내에서 꾸준히 발음이나 스피킹 연습을 할 수 있다는 점에서 좋습니다. 대신 무료 수업이 더 늘었으면 좋겠습니다. 사실상 무료 체험이 아닌 29,000원 정액권 결제시 3일의 체험 서비스를 주는 느낌이라 부담되어서 체험자체가 꺼려집니다. 가입 후 메일이 왔습니다. 두 명의 개인이름으로 '영어 스피킹에 당당하신가요?' '어떻게 스픽을 알게 되셨어요?' 라는 이름의 메일 이었는데 질문으로 흥미를 끄는 목적이었는 진 모르겠지만 공격적으로 혹은 사적으로 느껴져 부담스럽고 열어보기 꺼려집니다. 알게 된 경로를 묻는 메일은 가입할 때 선택적 정보수집 등에 동의하지 않았음에도 왔기 때문에 찜찜합니다. 링크를 통해 조사에 참여해달라고 했지만 어플을 통해 수집하시는 것이 맞는 것 같습니다(찜찜해요)."
183,김민석,5/5,2020년 9월 20일,제대로 말하지 않은 부분이 표시되는 기능 정말 좋네요. 또 잘못 말했을 때 터치하지 않아도 자동으로 반복 되는 기능 참 좋아요. 수업 진행 속도가 빠른것도 좋고. 다만 딱 하나. 음성 녹음이 활성화 되는 시간과 피드백이 반복되는 사이 시간이 더 짧아지면 좋겠어요. 그거 쪼금 기다리는 동안이 지루하네요 ㅋ
184,Mia Kang,4/5,2023년 5월 11일,"다 좋은데 음성 인식이 되게 안되요. 못해서가 아니라 아예 소리 입력이 안되는데, 백그라운드에서 포그라운드로 올때 안되거나 처음에 켜자마자 하면 바로 안된다거나.. 핸즈프리 켜기 끄기 전환 시 안된다거나.. 그런 부분들이 있어서 사운드 인식 부분만 좀 더 개선되면 좋을것같아요."
185,STAR POLE,3/5,2023년 6월 25일,"-장점 1. 수업은 여러가지 실생활 영어를 알 수 있어서 좋음. 2. 수업의 커리큘럼이 다양함. 3. AI는 스피킹 연습에 좋음. 4. AI의 첨삭을 받을 수 있음. -단점 1. 수업 스피킹 연습 시 조금만 빨리 말해도 인식을 못함. 그래서 하다가 짜증날때가 많음. 2. AI의 대화의 화제 전환이 너무 갑작스러움. (ex. 좋아하는 요리-> 미래직업) 3. AI의 반응이 굉장히 제한적임. 그래서 다양한 주제에 대한 얘기를 해도 결국 마지막엔 비슷한 토픽으로 끝남. (ex. 야식-> 미래직업, 취미->미래직업, 결혼관-> 미래직업.) 4. AI의 첨삭 내용을 좀 더 보완해야 할 것 같음. 너무 formal한 느낌으로 첨삭을 해준달까.. 그냥 수업만 듣기엔 나쁘지 않으나, 홍보의 메인 포인트가 AI 스피킹이니만큼 이 부분은 많이 손봐야 할 것 같음. 데이터도 많이 쌓아야할 것 같음. 요즘 chat GPT랑 무료 대화가 가능한데, 꽤 비싼 유료인 만큼 경쟁력을 더 키울 필요성이 보임."
186,Dolly jimin Choi,2/5,2023년 3월 15일,"1년 결제 사용중입니다. 주로 출퇴근길 차안에서 사용하는데, 인식률이 너무 낮아요 ㅠㅠ 네비게이션소리나 창문을 조금만 열어두고 바깥소리가 들어오면 한단어도 인식을 못할때가 많습니다. Ai 튜터링 보다는 수업문장이 더 인식률이 낮은것 같구요. 답답할때가 많네요."
187,신희성,4/5,2023년 6월 13일,"먼저 좋은앱알려주셔 감사드리구 일주일정도 잘 듣고있는데 문제가있네요 운전할일이 많아 차에서 주로 이용해보려는데 블루투스 핸즈프리상태에서 음성인식이 잘 안됩니다. 문의드려보니, 고객답변해주시는 쪽에서도 잘 모르시는거같구 업데이트해봐라 다른 음성권한해봐라 매뉴얼에있는 답변만 매크로처럼 반복해서 해주시고 좀 하루종일 답답했네요 결국 이리저리 해보다 폰으로사용시엔 음성인식잘되는데 차에서 할때 음성인식이 어디강의서는 되고 또 어디선안되고 이러는데 보완필요할것같습니다."
188,누머Nummor,1/5,2024년 3월 25일,어플 내용 자체는 좋은지 모르겠으나 고객센터가 엉망이고 시스템도 갖춰져있지 않음. 환불처리도 엉망이고 자동결제 및 구독취소 이메일까지 받았는데 자기들 마음대로 다시 결제해가놓고 바로 취소 및 환불요청에도 신속한 대응없이 구글에 요청하라고 넘기기만 함. 돈버는 방법이 좀 저급하지 않나요?
189,Sihyeon Lee,5/5,2023년 7월 12일,"ai튜터 사용하려고 무제한 이용권 결제 후 사용중입니다 말하는거 귀찮아해서 회화실력이 잘 안 느는 저한테 유용합니다 첨삭기능도 만족스러워요 개떡같이 말해도 다 알아듣고 수정해줍니다 아쉬운건 결제 이후 ai음성인식이 오류, 튕기는 현상이 종종 있어요..거기에 추가로 몇가지 불편사항이 있어 애정을 곁들여 건의사항 남겨봅니다 1. ai대화시 실수로 말안하고 제출 누르는 경우가 자주 있는데 이럴때 취소하는 기능이 있었음 합니다 2.수업들을때나 스피킹연습모드에서 한국말 음성 스킵 기능이 있었음해요 굳이 스피킹연습하는데 한국말을 들어야하나? 하는 생각에 스피킹 연습시 답답할때가 많습니다 3.ai튜터와 대화 후 스크립트 저장할때 부분적으로 드래그해서 특정문장만 저장하는 기능도 있었음 합니다 단어도 마찬가지구요 4.ai튜터 난이도 설정기능?같은게 있었음 좋겠어요 지금 ai튜터가 시험용엔 정말 적합한데 취미용으론 아쉬울때가 종종 있어요"
190,아아,5/5,2023년 4월 10일,과장 한 술 더하면 ai튜터 기능은 최적의 영어 회화 공부 방식인거 같아요. 근데 한 가지 제안드릴 것이 하나 있는데 보관한 표현을 복습하는 방법에 있어서 본인이 원하는 표현만 골라서 복습할 수 있게 만들면 어떨까요? 스마트 복습 알고리즘도 뭐 정말 좋은 이론들 다 섞어서 만든 훌륭한 것이겠지만 중복되는 것도 좀 많고 복습하고자 하는 표현들이 안 나오는 문제가 있어요. 본인이 선택한 표현들만 복습할 수 있도록 하는 기능을 추후에 업데이트 해주시길 부탁드리겠습니다
191,ᄆᄂᄅᄋ,4/5,2023년 10월 19일,다좋은데 진짜 너무답답한점 하나 때문에 앱 지우고싶음. 한국어랑 영어 음성 나오는거 너무 천천히 말해서 답답함. 특히 한국어 음성은 텍스트로 써주고 음성안내까진 안나왔음좋겠습니다.. 실전영어 연습 어플이라면서 영어음성도 수능영어듣기마냥 정확하게 또박또박 말해주는거 솔직히 도움 안되는거같습니다.
192,김민서,5/5,2023년 12월 2일,ai튜터 기능이 너무 좋은데 몇가지만 추가되면 더 양질의 학습이 가능할 것 같습니다 첫째로 ai튜터와의 대화 이후 피드백 받은 문장의 발음을 들을 수 있으면 좋겠습니다 둘째로 피드백 받은 문장을 다시 말해볼 수 있게 피드백 이후 튜터의 대화내용을 그대로 반복할 수 있었으면 좋겠습니다 셋째로 문법적인 피드백이 있을 경우 간단하게라도 어떤 원리인지 설명해주는 기능이 추가되었으면 좋겠습니다 넷째로 피드백에 대해 다시 질문할 수 있는 기능이 개발되었으면 좋겠습니다 ai튜터의 기능이 워낙 뛰어나서 대화 후 피드백의 질만 더 높인다면 더욱 높은 학습효과를 기대해봐도 좋을 것 같습니다
193,오즈의 맙소사,5/5,2023년 8월 26일,"미국 유학을 준비하기 위해 어플을 다운받았습니다. 무료체험을 했는데 사실 가격이 좀 부담되어 구독 취소를 했는데, 스픽 한국 담당자님께서 할인을 해주셔서 너무 좋은 가격에 구독을 재개하였습니다. 수업은 정말 유용하고, 일상영어 스피킹에 굉장히 도움이 많이 될 것 같습니다. 사실 다른 영어 프로그램(뇌**, 하*스*디, 스피*맥*)도 교육과정 모두 보고 곰곰이 생각을 해보았는데, 가격대비 가장 싸고 거품 없는 어플과 교육과정이라 생각해 결제하였습니다. 너무 좋은 기회를 잡아서 기분이 좋네요. 다만 가끔씩 ai와 대화 중에 튕기면 모든 대화가 날아가는데.. 이게 수업중에 그러면 처음부터 다시 9개를 말해야하는데 좀 불편하더라구요. 몇 개까지 했는지 저장되고 튕기더라도 다시 그 회차에서 계속할 수 있었으면 좋겠습니다. 앞으로 오래 봐요! 감사합니다!"
194,여우곰탱이,5/5,2023년 4월 21일,ai튜터 생기면서 더 재밌어졌어요 갤럭시유저인데 작년만 해도 음성인식 너무 안되고 화면 넘어가는 것도 겹치고 해서 거의 아이패드로만 사용했는데 오랜만에 폰으로 해봤는데 정말 좋아졌어요. 그리고 ai튜터랑 얘기하는 게 실제로 머리 써가며 하는거라 재밌고 신기하고 그러네요. 점점 발전하는 게 좋아요.
195,손이슬,4/5,2023년 8월 12일,대화하듯이 하는 예문연습으로 회화에 많은 도움이 됩니다. 다만 초기보다 최근이 음성인식이 잘안된다는 느낌입니다. 어려운 발음이 아닌데도 인식이 안되거나 단어 발음교정시는 올바르게 인식되는데 꼭 회화연습시는 인식이 안되네요.. 사람들 질의파트보면 저와 똑같은 단어가 인식이 잘안되게 보입니다. 이부분 개선 부탁드립니다
196,Google 사용자,3/5,2019년 6월 18일,내용과 진행방식 등은 매우 유용합니다! 그런데 자꾸 학습하고 나서 완료가 되지 않고 학습하지 않은 것처럼 표시돼서 두세번 다시 학습하곤 했습니다ㅠㅠ 이런 문제가 반복되다보니 학습 의욕이 떨어지고 있어요.... 내용상 말해야하는것과 해석과 인식되는 텍스트가 일치하지 않을때도 있구요ㅠ 이번 달 끝나고 유료는 해지신청해놨구요~ 이런 사항들이 정비되면 다시 하고 싶은 의향은 있습니다! 기기는 주로 LG GPAD4를 사용해 학습하고 있고 갤럭시S9과 병행해 사용하고 있는데 두개 기기간에 학습 이력이 반영되지 않는다는 점도 메일 보낸 적 있습니다~ 한동안 잘 반영되다가 다시 안되네요ㅠ
197,Hannah,2/5,2022년 2월 3일,"웹사이트를 통해 이용권 구매했는데 3일 후 플레이스토어 결제로 두번 돈이 나갔네요. 결제 경로를 두가지로 만들어놓았으면 기본적으로 이중 결제는 안되게 만들어야 정상 아닐까요?(이게 사용자가 직접 확인하고 취소요청하는 수밖에 없나요?) 메일보내니 바로 취소하겠다고 답이 오긴했지만, 죄송하다 한마디 없을 뿐더러 결제 내역에 대한 카드사 알림이 없었더라면 모르고 지나갈뻔 했네요. 앱 구성은 여러모로 좋으나, 이런 기본적인 부분도 같이 챙겨줬음 합니다 카카오톡 광고로 들어가서 결제한 분들은 필히 플레이스토어에서 또 결제되지 않았는지 확인하세요"
198,Jade SY,3/5,2023년 5월 10일,구성좋고 첫 무료체험 때 괜찮다 생각해서 고르고 골라 선택한 영어 학습 앱인데 다른 분들도 이미 짚어주신 사항이지만 can이나 what 같은 기초적인 단어 인식이 너무 안됩니다. 문장 발음 연습인데 단어 하나하나 끊어서 말하면 인식되는 경우에는 이게 발음 연습에 도움이 되는건지 오히려 방해가 되는건지 의구심이 듭니다. 물론 정확한 발음을 위해 정밀하게 체크하고 인식하는 거 겠지만 근본적인 목적인 영어 공부 의지를 깎아내릴 정도로 인식이 답답하다보니 이따금 결제한 걸 후회할 때가 있습니다. 인식문제는 조금 더 개선해서 적정한 수치를 찾아주시면 감사하겠습니다.
199,공육,1/5,2023년 1월 29일,업데이트 이후에 ai랑 대화하는데 아예 음성인식을 못하고 이상한 단어만 적는데 왜이러나요? 껐다 켜서도 다시해봤는데 전혀 인식이 안됩니다. 밑에 음성 듣고있단 표시는 나오는데;; 이전엔 문제없이 잘 썼었는데요... 수업에서 발음 잘 알아듣는거보면 마이크 문제는 아닌데;; 고객센터 어디로 연락하나요? 비용 내놓고 제대로 사용도 못하는중인데
200,XB (Rachel),3/5,2023년 1월 29일,먼저 다른 화상영어 전화영어 어플과 비교했을 때 시간 제약이 없고 수동적으로 무언가 해야 한다는 압박이 안 들어 좋은 것 같습니다. 하지만 영어 인식율이 낮은 편이고 교정이 잘 되지 않을 때가 있는 것 같습니다. 일단 1년 신청했지만 하는 동안 인식율 때문에 계속해서 신경이 쓰인다면 연장하기 힘들 것 같네요. ㅎㅎ
201,luckup3,4/5,2023년 1월 23일,말하기 연습을 많이 시켜서 좋습니다. 하지만 아직 음성인식이 완벽히 되지 않는 것 같네요. 그리고 연음을 인식 못 해서 로보트처럼 딱딱 끊어서 말해야 하네요. 연음 인식도 개선됐으면 합니다. 그리고 스마트 리뷰 시 한글번역을 보고 영어로 말하는 방식이었으면 좋겠습니다. 지금 방식은 영어를 보고 읽는 정도 밖에 안 되는 것 같아요.
202,고고굼굼 (고구마),5/5,2023년 5월 5일,"개선사항 건의(수정) : 스마트리뷰 보관된표현을 사용자의 편의에 따라 ""폴더""별로 정리할 수 있는 기능까지는 아니라도 ""스마트리뷰의 북마크"" 기능이 필요합니다(스마트리뷰를 복습하며 잘 외워지지않는 문장에 그때 그때 표시하여 표시된 문장만 모아서 재복습하기 등으로 활용). 지금은 모든 문장이 시간 순에 따라서만 보여지는데, 복습 자유도를 높여 더 효과있는 학습이 가능하면 좋겠습니다!!"
203,여한울,5/5,2022년 10월 2일,"말을 엄청 시켜줍니다. 유용한 표현들을 입에 익게 해줍니다. 한 달 써봤는데 어서 이 어플의 모든 코스를 다 정복하고 싶네요 + 추가 리뷰 : 이제 이 어플을 쓴지 석달인데요. 유용한 표현을 엄청 알려준다는 것, 말을 엄청 시켜준다는 것은 여전한데요. 음성인식 정확도는 높지 않은 편입니다. 종종 화날 때도 있었는데 이젠 그냥 초탈해서 인식못한 건 한 두번 더 해보다가 걍 넘어갑니다."
204,김민수,4/5,2020년 9월 17일,아이폰에서 스픽 사용하다 안드로이드로 넘어왓는데 어플 내 기능이 동일 하지가 않네요. 1. 수업 요약본 내 모든 문장보기 안됨. 2. 스피킹에서 내발음 녹음된거 듣기 안됨. 3. 스피킹시 인식까지 요구되는 시간이 아이폰 대비 엄청나게 짧은시간 안에 요구됨. 잘 사용하다가 휴대폰을 바꿧을 뿐인데 전에 사용하던 기능을 다 사용하지 못하고 잇어요 업데이트 부탁드려요
205,유연호,3/5,2023년 3월 19일,이전에는 ai튜터 한 과정이 끝나고나면 해당과정에 대한 피드백 화면이 나왔는데 최근에는 백지화면이 나오면서 스픽앱 전체가 중단되는 증상이계속되고 있습니다. 백지에서 다른 과정을 선택할수가 없어요 이상황에서 폰의 다른 기능이나 다른 앱은 사용할수 있는데 스픽만 안되고 스픽을 다시할려면 핸드폰을 다시 리부팅해야합니다 빠른 해결 부탁드립니다
206,MILKEN,3/5,2023년 5월 18일,2월 말부터 쭉 이용하고 있는 이용자입니다.(불꽃 114일째네요!) 제가 중간에 갤럭시로 폰을 바꿨는데 다른분들 말씀하시는것과같이 음성인식이 아이폰보다 많이 떨어집니다. 또 아이폰에는 스마트리뷰가 되는데 갤럭시는 그기능이 안되서 복습은 아이폰으로 따로 하고 있습니다. 이부분도 개선해주시면 감사할것같네요.. 추가로 리뷰복습하능것도 저는 다안했는데 혼자서 인식하더니 완료되는 부분도있고 저는 다했는데 인식이 안되서 몇번이나 지금 반복학습하는 부분이 너무 심해요 개선좀해주세요. 현직책소개하기 등등 너무 많이 인식이안대서 반복하고있어요;;
207,윤정빈,5/5,2020년 6월 4일,아직 체험수업을 하고 있어서 전체수업을 평가할 순 없지만 스피킹을 많이 연습할 수 있다는 것에 높은 점수를 주고 싶어요. 수업영상도 스마트폰 가득히(?) 선생님만 보여서 1:1로 대화하는 느낌이 들고 집중도도 높여주는 것 같아요. 조금 더 이용해보고 1년 결제할 예정입니다. 이번에는 꼭 영어로 일상대화하는 그 목표가 이뤄졌음 좋겠네요.
208,hi OH,2/5,2021년 4월 25일,갤럭시 s20 +입니다. 로딩이 너무 느리기에 제거하고 다시 깔았더니 로그인도 되지 않습니다. 처음 로그인이 되었을때 전반적인 컨텐츠 로딩이 너무 느리고 몇몇 복습하기 day는 1분이상 기다려도 열리지 않더라구요. 지금은 로그인조차 계속 로딩만 하네요.. 뭐가 문제일까요? +) 아이패드로 어플 접속하니 로그인이 됩니다. 1분 정도 기다리긴했지만.. 복습 day도 켜지네요! 갤럭시 단말기와 뭔가 안맞는걸까요 ㅜㅜ +) 갤럭시 단말기도 5분정도 걸렸지만 로그인 되었습니다. 공부하기 너무 느리네요😂
209,아깝지만주는나무,4/5,2020년 9월 3일,"컨텐츠나 시스템은 참 맘에 들어요. 근데 버퍼링이 심하고 (유튜브 HD 화질로 무리없이 시청 가능한 wifi 환경), 음성 인식이 막 화나게 할 때가 있네요 (pens, bags 등 발음이 양순음 시작에 [s, z]로 끝나는 단어는 인식시키는 거 포기). 이걸로 학습하는 거 참 재밌는데 저 상황들이 재미를 반감시켜요. ㅠㅠ"
210,Pip Pip (Lee),3/5,2023년 6월 4일,직접 말하면서 익힐 수 있다는 게 너무 좋은 것 같아요! 단어 인식이 잘 안되어도 문장을 익히는 거니까 크게 문제가되지는 않습니다! 다만 수업 진행 도중 다음 챕터로 넘어가지 않는 오류가 발생해서 수업을 듣지 못하는 경우가 종종 발생해서 불편한점이 있습니다. 완료하지 못한 수업이 쌓여가고있어효..! 유료어플인 만큼 이 부분만 좀 더 개선이 되면 좋겠어욥 ㅜㅠ
211,twinkle yoo,4/5,2022년 8월 3일,처음으로 앱에 결제도 하고 리뷰도 남기네요. 실생활에 필요한 회화표현들을 매일 조금씩이라도 반복해서 할수 있다는 점이 좋구요. 발음교정이나 다양한 표현들을 배울수 있는 점이 매우 좋습니다. 다만 발음인식이 한번 안될때 단어발음 따로 확인해서 맞게 발음했다고 하는데도 인식이 계속 안되는 경우가 너무 많습니다. 그 부분이 유일하게 아쉬운점이네요.
212,잌케말이제하부자,3/5,2022년 11월 12일,대안을 찾지 못해 쓰고는 있지만 음성인식 좀 개선해주세요. 2년전 사용할때보다 체감상 오히려 더 별로인것 같습니다. 음성인식때부문에 시간 낭비가 엄청납니다. 그냥 이 기능은 무시하고 문장을 많이 말하는데다 의의를 둬야하나 싶지만 그러면 제대로 된 서비스를 이용하지못하는 기분...
213,tv로지,4/5,2021년 3월 11일,여러 상황관련 회화를 여러 번 반복하여 입에 붙게하여 좋긴한데 복습의 기능이 좀더 간편했음 좋겠음. 예를들어 그동안 학습했던 내용을 반복하여 운동 중 들을 수 있는 연속 재생 기능 이런게 있었으면 좋을것 같음. 그리고 가끔 AI의 이상한 음성이 끼워들어가는 일이 있는데 확인 제거가 필요함.
214,초초가비,4/5,2021년 10월 12일,"좋은 어플입니다. 반복학습을 시켜주니 별다른 노력없이도 저절로 외우게 되네요. 돈이 아깝지 않다 생각중입니다. 단, 블루투스이어폰을 사용하면 들리기만 할 뿐 음성인식이 되지 않아(휴대폰 본체에서만 음성인식을 합니다) 불편하다는 것이 큰 단점입니다. 저 단점을 극복하고자 최근엔 줄달린 이어폰을 다시 꺼내서 쓰고 있습니다. 줄 달린 이어폰은 또 돼요. 흠."
215,언더바,1/5,2023년 4월 10일,안드로이드 사용자는 포기하셈. 발음 인식률 구림. 자동 넘김값이 디폴트 빨라서 생각할 시간도 없이 넘어감 매번 다시 넘겨야함. 어떤건 발음들려주고 어떤건 바로하고 일관성 없음 선택 옵션 안내놈 아이폰은 자동으로 복습 기능 있는데 안드는 없음 버그 많음 문의해도 고쳐지는데 한세월 현 스픽 말해보카 2개 유료사용 중 안드는 말해보카가 발음 인식률 좋음 만족도도 더 높은듯. 대신 스픽은 요점 정리는 잘 돼있음. 어플은 좋으나 UX는 가망 없음.
216,SungSoo Park,5/5,2023년 6월 20일,"영어 실력을 빠르게 향상 시킬 수 있어요. 여러가지 재밌고 다양한 강의와 아케이드도 존재해요. 가장 중요한 점은 폰만 키면 언제든지 할 수 있다는 것입니다. 그래서 저는 시간이 날 때면, 앱을 키고 강의를 하나 하나 들어가며 앱이 시키는 대로 해봤어요. 하루 하루 습관화 했더니, 영어 실력이 느는 것이 느껴져요. 정말 신기해요."
217,김기문,4/5,2022년 2월 16일,"인공지능 음성인식이 전체적인 발음이나 억양을 대체로 잘 인식하는 것 같습니다. 일부러 비슷한 발음에 다른 단어를 말해봤는데 잘 구분합니다. 다만 인식이 빠릿하진 않아서 은근 불편합니다. 컨텐츠도 기초 회화를 익히는데는 충분한 양이 준비되어 있고, 컨텐츠의 질도 무난한 편입니다. 컨텐츠에 비해 가격이 싸지는 않은 듯 합니다 실제 원어민과 대화하는 것이 힘든 대부분의 사람들이 남는 시간에 짧게짧게 연습하는데 최적화되어있고 영어 문장을 자연스럽게 매일 말하면서 무의식적으로 영어가 입에 붙는 것이 장점입니다. 출석을 안하면 푸시 알람을 통해 알려주고 챌린지와 연동해서 매일 계속 연습하도록 유도하는데 효과가 좋습니다. 다만 정해진 답과 조금 다르게 말하면 당연히 인식이 안되기 때문에 정해진 양식대로만 말해야 하고, 화면에 써진 것을 단순히 읽기만 하는 느낌이 지루하게 만들기도 합니다. 앱이 다양한 대답을 모두 인식하면 좋겠지만 기술적으로 어려워 보이니 아쉽습니다"
218,응가이,5/5,2023년 1월 1일,저장된 문장 복습하기 왜이런가요? 나오는 거만 계속 나오고 차라리 순서대로 나오게 해주세요. 문장도 꼴랑 10개씩만 나오고...복습량도 설정이라도 가능하게 해주던지...10개 복습할때마다 버튼 눌러야하고...복습모드는 핸즈프리기능 의미가 없음.10개 마다 꺼내서 눌러줘야 함.걍 주머니에 넣고 할 수있게 해주세요. 단원별 복습기능도 필요합니다
219,Yujin Kim,5/5,2022년 12월 26일,"앱 오류 문의입니다! 테스트용 체험을 주셔서 너무 잘 사용하고있는데 AI 기능이 제 말을 인식하지 못하고 버퍼링이 걸린채 계속,, 있어서 대화가 진행이 되지않습니다! 이부분 확인 부탁드립니다! 빠르게 AI가 작동하고 제 말을 실시간으로 띄워준다면 좋을것같습니다! 아침에는 잘 동작하는것같아서 너무 감탄했는데 지금은 오류로 아예 작동이 안하는 것 같습니다! 확인부탁드립니다..!"
220,정혜윤,1/5,2022년 10월 13일,"요즘 밖에서, 차에서 사용시 계속 에러나요. 분명 몇달동안 잘됐었거든요. 집에서 와이파이로는 잘되고있어요. 운전하는 구간은 변하지않았어요. (등하원구간) 문장 따라할때. 그 문장이 끝까지 나오지않는 상황에서. 갑자기 끊기더니. 듣고있다는 문구가 뜨고. 상단 마이크표시가 잠깐 나왔다 사라집니다. 그리고는 아무리 말해도 인식을 아예 못합니다. 여러강의를 시도해봐도 똑같습니다. 연간유료회원인데. 벌써 2~3일이 이런것같습니다. 빠른 해결바랍니다. 아. 지웠다 다시 깔아도 똑같고. 업데이트해도 안됩니다. 2~3일전? 업데이트 한뒤부터 이런것같습니다."
221,B six,4/5,2023년 1월 23일,Ai대화기능이 좋아서 결제했는데 불편한 부분이 꽤있네요.. 채팅하다가 미션이나 힌트등을 보고 뒤로가기를 누르면 아얘 수업에서 나가지고 이어하기도 안된다는점은 개선되었으면 좋겠어요 ㅜ 그리고 타사에비해 인식률이 넘 느리고 정확하지 않은것같습니다 ai대화의 경우 잘못눌러서 아무 음성도 안담겨있을때 오류가 나버려 멈춰 그상태로 채팅 진행을 못하고 처음부터 다시해야하는 일이 계속있네요
